Code,Plot,Easting,Northing,Species,Group,Density,Elevation,Snowpack,DIP,TIN,Colonization
AGRVAR.95,95,446548,4434163,AGRVAR,Grass,50,3691.3,109.354,0,0.562,0
ANGGRA.129,129,446567,4434213,ANGGRA,Forb,48,3711.3,114.034,4.51,0.363,52
ANGGRA.89,89,446276,4433917,ANGGRA,Forb,17,3637.7,225.845,5.24,0.293,0
AQUCOE.120,120,446748,4434159,AQUCOE,Forb,54,3656.4,88.3431,15.26,1.061,15
BESALP.128,128,446628,4434229,BESALP,Forb,13,3710.3,123.506,7.52,0.261,72
BESALP.18,18,445147,4433842,BESALP,Forb,38,3886.4,65,8.76,0.428,32
BESALP.57,57,445355,4433813,BESALP,Forb,27,3813.3,65,6.06,0.412,36
CARALB.111,111,446537,4434292,CARALB,Sedge,33,3779.5,207.179,0,0.194,20
CARALB.112,112,446496,4434273,CARALB,Sedge,39,3778.7,190.418,5.7,0.29,14
CARALB.9,9,445301,4433948,CARALB,Sedge,30,3900.9,65,5.94,0.162,19
CARPER.124,124,446820,4434279,CARPER,Sedge,25,3712.7,242.676,5.41,0.357,5
CARPHA.119,119,446779,4434241,CARPHA,Sedge,37,3697.9,159.848,0,0.305,40
CARPHA.7,7,445185,4433921,CARPHA,Sedge,33,3927.8,65,2.71,0.419,17
CARPYR.109,109,446646,4434310,CARPYR,Sedge,39,3763.8,179.827,6.4,0.235,12
CARPYR.155,155,446761,4434294,CARPYR,Sedge,3,3732.1,258.398,5.76,0.22,0
CARPYR.75,75,445494,4433834,CARPYR,Sedge,56,3789.5,149.521,5.56,0.511,0
CARRUP.66,66,445276,4433729,CARRUP,Sedge,82,3812.3,72.4137,20.73,0.172,0
CARSCO.79,79,445585,4433755,CARSCO,Sedge,131,3739.8,160.336,1.85,0.18,0
CERARV.48,48,445376,4433854,CERARV,Forb,27,3828.9,65,5.13,0.514,0.5
CIRSCO.13,13,445467,4433965,CIRSCO,Forb,16,3893.8,65,4.37,0.532,0
CIRSCO.47,47,445430,4433885,CIRSCO,Forb,25,3844.1,65,4.22,0.199,12
CIRSCO.48,48,445376,4433854,CIRSCO,Forb,27,3828.9,65,5.13,0.514,0.5
CIRSCO.94,94,446469,4434083,CIRSCO,Forb,11,3659.6,187.56,5.93,0.301,70
DESCES.111,111,446537,4434292,DESCES,Grass,33,3779.5,207.179,0,0.194,6
DESCES.112,112,446496,4434273,DESCES,Grass,39,3778.7,190.418,5.7,0.29,3
DESCES.113,113,446516,4434236,DESCES,Grass,97,3754.8,143.168,3.89,0.247,21
DESCES.129,129,446567,4434213,DESCES,Grass,48,3711.3,114.034,4.51,0.363,18
DESCES.48,48,445376,4433854,DESCES,Grass,27,3828.9,65,5.13,0.514,8
DESCES.75,75,445494,4433834,DESCES,Grass,56,3789.5,149.521,5.56,0.511,7
ELYSCR.36,36,445084,4433630,ELYSCR,Grass,28,3863.2,261.915,7.24,0.362,1
ELYSCR.39,39,445153,4433795,ELYSCR,Grass,30,3870.3,63.5581,2.94,0.25,0
ELYSCR.47,47,445430,4433885,ELYSCR,Grass,25,3844.1,65,4.22,0.199,3
ELYSCR.57,57,445355,4433813,ELYSCR,Grass,27,3813.3,65,6.06,0.412,3
ELYSCR.59,59,445250,4433767,ELYSCR,Grass,49,3826.1,68.3429,6.28,0.177,1
ELYSCR.60,60,445217,4433739,ELYSCR,Grass,17,3831.8,56.2458,9.41,0.126,3
