Code,UI Glomeromycota,UI Glomeromycetes,UI Ambisporaceae,Ambispora,UI Ambisporaceae 2,UI Archaeosporaceae,Archaeospora,UI Archaeosporaceae2,UI Archaeosporales,UI Diversisporales,UI Acaulosporaceae,Acaulospora,Entrophospora,UI Acaulosporaceae2,Diversispora,UI Gigasporacea,UI Glomerales,UI Claroideoglomeraceae,Claroideoglomus,UI Claroideoglomeraceae2,UI Glomeraceae,Glomus,Rhizophagus,UI Glomeraceae2,UI Glomerales2,UI Paraglomerales,UI Paraglomerales2,UI Glomeromycetes2,UI Glomeromycota2
AGRVAR.95,0,0,0,0,0,0,0,0,0,0,0,0,0.003653239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGGRA.129,0,0.001319773,0,0,0,0,7.76E-05,0,0,0,0,0.014517506,0,0,0,0,0,0,0,0,0,0.043436069,0.019330797,0.009121963,0,0,0.002212561,0,0
ANGGRA.89,0,0,0,0,0,0,0,0,0,0,6.00E-05,0.023805954,0,0,0,0,0,0,0.002398585,0,0,0,0,0,0,0,0,0,0
AQUCOE.120,0,0.00697256,0,0,0,0,0,0.014704229,0.002839631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BESALP.128,0,0.000369026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000861062,0.006703979,0.019619903,0.002337167,0,0,0,0,0
BESALP.18,0,0,0,0,0,0,5.21E-05,0,0.007144347,0,0,0,0,0,0.001877347,0,0,0,0,0.000208594,0,0.001720901,0,0,0.002242386,0,0,0,0
BESALP.57,0,0,0,0,0,0,0.004637437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004215852,0,0,0,0,0,0,0
CARALB.111,0,2.30E-05,0,0,0,0,0.001425287,0,0,2.30E-05,0.000413793,0.000574713,0,0.000689655,0,0,0,2.30E-05,2.30E-05,2.30E-05,0,0,0,0,0,0,0,0,0
CARALB.112,0,0,0,0,0,0,0,0,0,0,0,0,0.008967493,0,0,0,0,0.000124549,0.000124549,0,0,0,0,0.005729232,0,0,6.23E-05,0,0
CARALB.9,0,0,0,0,0,0.000555818,0.001667454,0,0,0.000194536,0,0,0,0,5.56E-05,0,0,0,0,0,0,0,0,0,0.000194536,0,0.002918045,0,0
CARPER.124,0,0,0,0,0,5.90E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARPHA.119,0,0,0,0,0,0,8.87E-05,0.000532269,0,0,0,0,0,0,0.001153249,0,0,0,0,0.000221779,0,0.013084941,0.037658017,0.006254158,0,0,0.002129075,0,0
CARPHA.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000263539,0.000658848,0,0,0,0,0,0,0,0,0.00013177,0
CARPYR.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00354302,0,0.000104206,0.000521032,0,0,0
CARPYR.155,0,0.001549472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARPYR.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000407498,0.000733496,0,0,0,0,0,0,0,0,0,0
CARRUP.66,0,0,0,0,0,0,0,0,0,0.000571755,0,0.003087479,0.016866781,0,0,0,0,0,0.003030303,0.002458548,0,0,0.000628931,0.002801601,0,0,0,0,0
CARSCO.79,0.001693572,0.008467858,0,0,0,0,0,0,0,0,0,0.000288268,0,0,0,0,0,0,0,0,0,0,0,0.008215624,0,0,0,0,0.009656962
CERARV.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69E-05,0,0,0,0,0,0,0,0,0
CIRSCO.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058109118,0,0.016753861,0,0.095976582,0.002055306,0,0,0,0,0,0,0,0,0
CIRSCO.47,0,0.000532552,0,0,0,0,0,0,0,0,0,0,0,0,0.009785648,0,0,0,0.002662761,0.033617361,0.000133138,0.624750366,0.000133138,0.074890161,0,0,0,0,0
CIRSCO.48,0,0,0,0,0,0,0,0,0,0,0,0,0.023841859,0,0,0,0,0,0,0.001584427,0,0,0,0,0,0,0,0,0
CIRSCO.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010500808,0,0,0,0,0,0
DESCES.111,0,0,0,0,0,0,0,0,0,0,0,0,0.001493652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DESCES.112,0,0,0,0,0,0,0,0,0,0,0,0,6.72E-05,0,0,0,0,6.72E-05,0,0,0,0,0,0,0,0,0,0,0
DESCES.113,0,9.24E-05,0.000462193,0.001987428,0,9.24E-05,0.000554631,0.000554631,0.000184877,0,0.000369754,0.002357182,0.001109262,0.000415973,0,0.001525236,0,0,0,9.24E-05,0,0.000323535,0.002218525,4.62E-05,4.62E-05,0,0,0,0
DESCES.129,0,0.001827782,0,0,0,0,0,0.000947739,0,0,0,0,0.033780125,0,0.000338478,0,0,0,0.000135391,0,0.00216626,0.020173301,0.020850257,0.050365556,0.002030869,0,0,0,0
