"","Plot","Easting","Northing","Site","Hyphae","Vesicles","Arbuscules","AM","DSE","NM","Colonization","AM_Present","DS_Present","Olpidium","Species","Family","Class","Type","Group","Stems_2008","Stems_2015","Stem_Change","Density","Rich_2015","PCo1","PCo2","Elevation","Snowpack","Moisture","Sand","MBC","DOC7","TDN7","TDP","TDIP","pH","Spores","AG","BG","BXYL","CBH","LAP","NAG","PHOS","BG.NAG","NAG.PHOS","Glomeromycota","Pleosporales","Microascales","Xylariales","Pezizales","Dothideales","Leotiales","Chaetothyriales","Eurotiales","Onygenales","Saccharomycetales","Taphrinales","Ambispora","Archaeospora","Acaulospora","Diversispora","Entrophospora","Gigaspora","Scutellospora","Glomus","Paraglomus","Herpotrichia","Leptosphaeria","Pleospora","Xylaria","Dothidea","Cudonia","Sclerotinia","Spathularia","Capronia","Elaphomyces","Debaryomyces","Taphrina","Alternaria","Aspergillus","Phialocephala","Phialophora","Shannon","DOC15","TDN15","Mean.Snow","Trend.Snow","CV.Snow","Julian","AMlogit","DSElogit","DensityLog","TDPlog","TDNlog","DSE_Curve"
"79",84,446062,4433761,"M",0.5,0,0,0.5,0,99.5,0.5,1,0,0,"CARPYR","Cyperaceae","Graminoid","Sedge","Sedge",15,70,55,22,3,-0.04607071,-0.18665895,3636.6,334.524,12.36,46,420.885,42.94399608,4.436319234,4.65,7.6,4.19,54,4.300298671,77.95573388,19.75905724,18.40228654,0.409524262,13.93760109,279.8326794,5.593195944,0.04980691,0.005092086,0.065102556,0.0022843,0,4.76e-05,0.000761433,4.76e-05,0.017132251,0,0,0,4.76e-05,0,0,0,4.76e-05,0,0,0,0,0,0,0,0,0,0.000142769,0,0.000523485,0,0.000523485,0,0,4.76e-05,4.76e-05,0,0,0,1.13,14.35,1.1,322.12,-10.55,0.37,235,-3.48472463825738,-3.66356164612965,3.09104245335832,1.53686721959926,0.0953101798043249,10.6305900240269
"80",84,446062,4433761,"M",9,0,0,9,0.5,91,9,1,1,0,"UNKOPP","Unknown","Forb","Forb","Forb",15,70,55,22,3,-0.04607071,-0.18665895,3636.6,334.524,12.36,46,420.885,42.94399608,4.436319234,4.65,7.6,4.19,54,4.300298671,77.95573388,19.75905724,18.40228654,0.409524262,13.93760109,279.8326794,5.593195944,0.04980691,0.005092086,0.065102556,0.0022843,0,4.76e-05,0.000761433,4.76e-05,0.017132251,0,0,0,4.76e-05,0,0,0,4.76e-05,0,0,0,0,0,0,0,0,0,0.000142769,0,0.000523485,0,0.000523485,0,0,4.76e-05,4.76e-05,0,0,0,1.13,14.35,1.1,322.12,-10.55,0.37,235,-2.08564398614808,-3.48472463825738,3.09104245335832,1.53686721959926,0.0953101798043249,10.6305900240719
"81",89,446276,4433917,"M",0,0,0,0,4,96,4,0,1,0,"ANGGRA","Apiaceae","Forb","Forb","Forb",18,53,35,17,9,-0.129167764,-0.21842087,3637.7,225.845,1.01,61,171.16,33.26817655,5.295467163,3.57,5.24,4.35,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019534772,0.084750857,6.01e-05,0.000300535,0.000420749,0.000721284,0.062330949,0.055418645,0.000360642,6.01e-05,0.020496484,0.000300535,0,0,0,0.004928773,0,0,0,0,0,0,6.01e-05,0,0,0,0,0.000300535,0,0.011059686,0,0,0.000300535,6.01e-05,0,0,0,1.63,14.56,1.39,223.54,-9.34,0.5,235,-3.66356164612965,-2.69954855584689,2.83321334405622,1.27256559579155,0.3293037471426,10.5277568099522
"82",89,446276,4433917,"M",1,0,0,1,0,99,1,1,0,0,"SENFRE","Asteraceae","Forb","Forb","Forb",18,53,35,17,9,-0.129167764,-0.21842087,3637.7,225.845,1.01,61,171.16,33.26817655,5.295467163,3.57,5.24,4.35,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019534772,0.084750857,6.01e-05,0.000300535,0.000420749,0.000721284,0.062330949,0.055418645,0.000360642,6.01e-05,0.020496484,0.000300535,0,0,0,0.004928773,0,0,0,0,0,0,6.01e-05,0,0,0,0,0.000300535,0,0.011059686,0,0,0.000300535,6.01e-05,0,0,0,1.63,14.56,1.39,223.54,-9.34,0.5,235,-3.33168677783125,-3.66356164612965,2.83321334405622,1.27256559579155,0.3293037471426,10.5277568099522
"176",156,445937,4433706,"D",0,0,0,0,0,100,0,0,0,0,"STEUMB","Caryophyllaceae","Forb","Forb","Forb",26,37,11,12,7,-0.304546297,-0.124535822,3655.6,358.477,8.7,81,88.918,55.66638568,6.328260677,2.21,3.29,4.36,2,NA,112.8775056,-0.426115694,17.8609833,NA,9.265775134,99.00388903,12.18219782,0.093590012,0,0.037022512,0,0,7.84e-05,0,0,0.098321437,0.003098282,0,0,0,0,0,0,0,0,0,0.000740535,0,0,0,0.002869573,0,0,9.26e-05,0,0,0,0,0,0,0.007775618,0.000185134,0,9.26e-05,0,1.49,6.88,1.33,201.13,-6.37,0.48,229,-3.66356164612965,-3.66356164612965,2.484906649788,0.792992515529661,0.285178942233662,8.96452843240017
"129",120,446748,4434159,"D",15,1,0,15,2,83,17,1,1,0,"AQUCOE","Ranunculaceae","Forb","Forb","Forb",132,171,39,54,27,0.284770594,0.146125599,3656.4,88.3431,16.28,70,354.478,44.79812431,6.994374728,15.11,15.26,5.28,NA,42.29635299,724.8749582,238.388698,276.7897449,1.214362653,62.60998827,497.4117547,11.57762488,0.125871549,0.013543381,0.045708911,0,0,0.00409123,0,0.002163179,0.042793322,0.001175641,0,0.000188103,0.000188103,0.003385845,0,0.000705384,0.000470256,0.000799436,0,0,9.41e-05,0,0,0.000188103,0,0,0,0,9.41e-05,0,0.006959793,0,0,0,0,0,0.000141077,0,2.16,34.08,4.46,97.89,-6.09,0.9,231,-1.60344987058948,-3.07856827913314,3.98898404656427,2.71535677628465,1.49514876603197,8.89950858464663
"148",133,446659,4434147,"D",0,0,0,0,40,60,40,0,1,0,"FESBRA","Poaceae","Graminoid","Grass","Grass",118,148,30,47,14,0.283516263,0.047950423,3656.9,102.357,1.01,70,186.882,36.10511617,5.222222222,3.56,3.94,5.28,43,2.350606033,113.9206035,25.51987776,24.84602092,0.548551612,23.18208292,181.295351,4.914165992,0.127869153,0.007161387,0.108736161,0,0.000182688,0.00094998,0.000146151,0.009097884,0.07888487,0.01074208,0,0.000219226,0.001351894,0.00094998,0,7.31e-05,0,0,7.31e-05,0,0,0,0,0.000365377,0,0,0,0,0.000292302,0,0.023822573,0,0,0.000109613,0.000109613,0,7.31e-05,0,1.9,16.59,2.74,113.55,-2.88,0.79,231,-3.66356164612965,-0.384674338439091,3.85014760171006,1.26976054486394,1.00795792039998,8.85908169584242
"149",133,446659,4434147,"D",0,0,0,0,0,100,0,0,0,0,"KOBMYO","Cyperaceae","Graminoid","Sedge","Sedge",118,148,30,47,14,0.283516263,0.047950423,3656.9,102.357,1.01,70,186.882,36.10511617,5.222222222,3.56,3.94,5.28,43,2.350606033,113.9206035,25.51987776,24.84602092,0.548551612,23.18208292,181.295351,4.914165992,0.127869153,0.007161387,0.108736161,0,0.000182688,0.00094998,0.000146151,0.009097884,0.07888487,0.01074208,0,0.000219226,0.001351894,0.00094998,0,7.31e-05,0,0,7.31e-05,0,0,0,0,0.000365377,0,0,0,0,0.000292302,0,0.023822573,0,0,0.000109613,0.000109613,0,7.31e-05,0,1.9,16.59,2.74,113.55,-2.88,0.79,231,-3.66356164612965,-3.66356164612965,3.85014760171006,1.26976054486394,1.00795792039998,8.85908169584242
"151",133,446659,4434147,"D",4,4,0,4,0,96,4,1,0,0,"OREALP","Apiaceae","Forb","Forb","Forb",118,148,30,47,14,0.283516263,0.047950423,3656.9,102.357,1.01,70,186.882,36.10511617,5.222222222,3.56,3.94,5.28,43,2.350606033,113.9206035,25.51987776,24.84602092,0.548551612,23.18208292,181.295351,4.914165992,0.127869153,0.007161387,0.108736161,0,0.000182688,0.00094998,0.000146151,0.009097884,0.07888487,0.01074208,0,0.000219226,0.001351894,0.00094998,0,7.31e-05,0,0,7.31e-05,0,0,0,0,0.000365377,0,0,0,0,0.000292302,0,0.023822573,0,0,0.000109613,0.000109613,0,7.31e-05,0,1.9,16.59,2.74,113.55,-2.88,0.79,231,-2.69954855584689,-3.66356164612965,3.85014760171006,1.26976054486394,1.00795792039998,8.85908169584242
"83",94,446469,4434083,"M",70,20,0,70,0,26,74,1,0,0,"CIRSCO","Asteraceae","Forb","Forb","Forb",13,33,20,11,6,-0.24604166,-0.100669181,3659.6,187.56,1.01,63,129.869,24.72222222,6.555555556,3.84,5.93,4.43,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007062924,0.06301596,0,4.59e-05,0.002797652,0.000596221,0.011465786,0.022197762,0.003072831,0.000412768,0.011878554,0.0008714,0,0,0,0,0,0,0.000183453,0,0,0,0,0,0,0.000137589,0,9.17e-05,0,0.001742799,0,0,0.000779673,4.59e-05,0,0,0,1.52,10.15,0.63,161.1,-5.15,0.46,229,0.800119300112113,-3.66356164612965,2.39789527279837,1.34547236659964,-0.462035459596559,8.6435747403
