Colonization,Species,Species2,Fungus,Group,Order,Tree
0,ANGGRA,AngGra,AMF,Forb,10,16
2,ANGGRA,AngGra,AMF,Forb,10,16
52,ANGGRA,AngGra,AMF,Forb,10,16
4,ANGGRA,AngGra,DSE,Forb,10,16
1,ANGGRA,AngGra,DSE,Forb,10,16
0,ANGGRA,AngGra,DSE,Forb,10,16
27,ANTMED,AntMed,AMF,Forb,9,18
19,ANTMED,AntMed,AMF,Forb,9,18
5,ANTMED,AntMed,AMF,Forb,9,18
45,ANTMED,AntMed,AMF,Forb,9,18
1,ANTMED,AntMed,DSE,Forb,9,18
0,ANTMED,AntMed,DSE,Forb,9,18
0,ANTMED,AntMed,DSE,Forb,9,18
0,ANTMED,AntMed,DSE,Forb,9,18
32,BESALP,BesAlp,AMF,Forb,7,15
29,BESALP,BesAlp,AMF,Forb,7,15
36,BESALP,BesAlp,AMF,Forb,7,15
72,BESALP,BesAlp,AMF,Forb,7,15
3,BESALP,BesAlp,DSE,Forb,7,15
0.5,BESALP,BesAlp,DSE,Forb,7,15
2,BESALP,BesAlp,DSE,Forb,7,15
1,BESALP,BesAlp,DSE,Forb,7,15
19,CARALB,CarAlb,AMF,Sedge,1,8
3,CARALB,CarAlb,AMF,Sedge,1,8
20,CARALB,CarAlb,AMF,Sedge,1,8
14,CARALB,CarAlb,AMF,Sedge,1,8
14,CARALB,CarAlb,AMF,Sedge,1,8
0,CARALB,CarAlb,DSE,Sedge,1,8
0,CARALB,CarAlb,DSE,Sedge,1,8
2,CARALB,CarAlb,DSE,Sedge,1,8
1,CARALB,CarAlb,DSE,Sedge,1,8
0,CARALB,CarAlb,DSE,Sedge,1,8
17,CARPHA,CarPha,AMF,Sedge,1,7
12,CARPHA,CarPha,AMF,Sedge,1,7
40,CARPHA,CarPha,AMF,Sedge,1,7
1,CARPHA,CarPha,DSE,Sedge,1,7
0,CARPHA,CarPha,DSE,Sedge,1,7
0,CARPHA,CarPha,DSE,Sedge,1,7
1,CARPYR,CarPyr,AMF,Sedge,1,6
0,CARPYR,CarPyr,AMF,Sedge,1,6
4,CARPYR,CarPyr,AMF,Sedge,1,6
0.5,CARPYR,CarPyr,AMF,Sedge,1,6
12,CARPYR,CarPyr,AMF,Sedge,1,6
1,CARPYR,CarPyr,AMF,Sedge,1,6
0.5,CARPYR,CarPyr,AMF,Sedge,1,6
1,CARPYR,CarPyr,AMF,Sedge,1,6
0.5,CARPYR,CarPyr,AMF,Sedge,1,6
0,CARPYR,CarPyr,AMF,Sedge,1,6
10,CARPYR,CarPyr,AMF,Sedge,1,6
0,CARPYR,CarPyr,DSE,Sedge,1,6
0.5,CARPYR,CarPyr,DSE,Sedge,1,6
0,CARPYR,CarPyr,DSE,Sedge,1,6
0,CARPYR,CarPyr,DSE,Sedge,1,6
1,CARPYR,CarPyr,DSE,Sedge,1,6
0,CARPYR,CarPyr,DSE,Sedge,1,6
0,CARPYR,CarPyr,DSE,Sedge,1,6
0,CARPYR,CarPyr,DSE,Sedge,1,6
0,CARPYR,CarPyr,DSE,Sedge,1,6
0,CARPYR,CarPyr,DSE,Sedge,1,6
0,CARPYR,CarPyr,DSE,Sedge,1,6
0,CIRSCO,CirSco,AMF,Forb,9,17
12,CIRSCO,CirSco,AMF,Forb,9,17
0.5,CIRSCO,CirSco,AMF,Forb,9,17
70,CIRSCO,CirSco,AMF,Forb,9,17
0,CIRSCO,CirSco,DSE,Forb,9,17
0,CIRSCO,CirSco,DSE,Forb,9,17
0,CIRSCO,CirSco,DSE,Forb,9,17
0,CIRSCO,CirSco,DSE,Forb,9,17
8,DESCES,DesCes,AMF,Grass,1.5,4
5,DESCES,DesCes,AMF,Grass,1.5,4
7,DESCES,DesCes,AMF,Grass,1.5,4
6,DESCES,DesCes,AMF,Grass,1.5,4
6,DESCES,DesCes,AMF,Grass,1.5,4
3,DESCES,DesCes,AMF,Grass,1.5,4
21,DESCES,DesCes,AMF,Grass,1.5,4
18,DESCES,DesCes,AMF,Grass,1.5,4
0,DESCES,DesCes,DSE,Grass,1.5,4
0,DESCES,DesCes,DSE,Grass,1.5,4
1,DESCES,DesCes,DSE,Grass,1.5,4
3,DESCES,DesCes,DSE,Grass,1.5,4
1,DESCES,DesCes,DSE,Grass,1.5,4
5,DESCES,DesCes,DSE,Grass,1.5,4
1,DESCES,DesCes,DSE,Grass,1.5,4
0,DESCES,DesCes,DSE,Grass,1.5,4
1,ELYSCR,ElyScr,AMF,Grass,1.5,3
0,ELYSCR,ElyScr,AMF,Grass,1.5,3
3,ELYSCR,ElyScr,AMF,Grass,1.5,3
3,ELYSCR,ElyScr,AMF,Grass,1.5,3
1,ELYSCR,ElyScr,AMF,Grass,1.5,3
3,ELYSCR,ElyScr,AMF,Grass,1.5,3
1,ELYSCR,ElyScr,DSE,Grass,1.5,3
20,ELYSCR,ElyScr,DSE,Grass,1.5,3
0,ELYSCR,ElyScr,DSE,Grass,1.5,3
3,ELYSCR,ElyScr,DSE,Grass,1.5,3
0,ELYSCR,ElyScr,DSE,Grass,1.5,3
2,ELYSCR,ElyScr,DSE,Grass,1.5,3
15,ERISIM,EriSim,AMF,Forb,9,20
6,ERISIM,EriSim,AMF,Forb,9,20
12,ERISIM,EriSim,AMF,Forb,9,20
27,ERISIM,EriSim,DSE,Forb,9,20
0,ERISIM,EriSim,DSE,Forb,9,20
4,ERISIM,EriSim,DSE,Forb,9,20
0,FESBRA,FesBra,AMF,Grass,1.5,2
