date,julian,snowfree,mean.moist,mean.temp,subject,spp,num,biomass,longest.leaf.length,height,basal.leaves,total.leaves,buds,flowers,phenophase,no.fungus,amf.hyphae,fre.hyphae,arbuscule,vesicle,amms,total.am,dse.hyphae,coiled.hyphae,ms,total.dse,total.col,observer
2017-06-26,177,2,46.2,5.1,1,ArtSco,1,0.01037,2.5,2.5,2,2,0,0,leaves,77,7,0,0,3,0,10,13,0,0,13,23,Cliff
2017-06-26,177,2,46.2,5.1,2,ArtSco,2,0.03674,1.3,1.3,10,10,0,0,leaves,50,3,27,0,0.5,0,29.5,28,0,0,28,50,Cormac
2017-06-26,177,2,46.2,5.1,3,ArtSco,3,0.0109,2.1,2.1,3,3,0,0,leaves,19,36,54,6,0,0,74,29,0,1,29,81,Cormac
2017-06-26,177,2,46.2,5.1,4,ArtSco,4,0.00873,1.5,1.5,3,3,0,0,leaves,61,16,8,0,2,0,24,16,0,0,16,39,Cliff
2017-06-26,177,2,46.2,5.1,5,ArtSco,5,0.02037,1.4,1.4,6,6,0,0,leaves,34,32,17,8,9,4,50,24,0,3,24,66,Cliff
2017-06-26,177,2,46.2,5.1,6,GenAlg,1,0.20626,5.3,5.3,30,6,0,0,leaves,51,12,22,1,2,0,35,34,0,1,34,49,Cormac
2017-06-26,177,2,46.2,5.1,7,GenAlg,2,0.03161,2.8,2.8,6,6,0,0,leaves,33,17,46,4,0.5,0,64.5,39,0,0,39,67,Cormac
2017-06-26,177,2,46.2,5.1,8,GenAlg,3,0.03316,3.5,3.5,6,6,0,0,leaves,26,60,13,12,4,0,67,19,0,0,19,74,Cliff
2017-06-26,177,2,46.2,5.1,9,GenAlg,4,0.02428,2.9,2.9,26,5,0,0,leaves,8,71,44,5,6,1,85,24,3,0,25,92,Cliff
2017-06-26,177,2,46.2,5.1,10,GenAlg,5,0.01327,2.8,2.8,4,4,0,0,leaves,15,76,5,23,8,1,77,21,3,0,24,85,Cliff
2017-06-26,177,2,46.2,5.1,11,GeuRos,1,0.05515,2.5,2.5,5,5,0,0,leaves,53,16,15,0,3,0,34,21,0,0,21,47,Cliff
2017-06-26,177,2,46.2,5.1,12,GeuRos,2,0.10573,3,3,8,8,0,0,leaves,47,7,36,0,1,0,42,27,0,0,27,53,Cormac
2017-06-26,177,2,46.2,5.1,13,GeuRos,3,0.09218,2.5,2.5,5,5,0,0,leaves,57,9,30,0,2,0,39,11,0,0,11,43,Cliff
2017-06-26,177,2,46.2,5.1,14,GeuRos,4,0.09688,2.75,2.75,8,8,0,0,leaves,53,34,1,1,6,0,35,13,0,0,13,47,Cliff
2017-06-26,177,2,46.2,5.1,15,GeuRos,5,0.04907,2,2,5,5,0,0,leaves,55,39,7,0,0,0,45,1,0,0,1,45,Cliff
2017-06-26,177,2,46.2,5.1,16,PolBis,1,0.04694,4.5,4.5,3,3,0,0,leaves,15,56,17,1,1,1,68,70,0,2,70,85,Cliff
2017-06-26,177,2,46.2,5.1,17,PolBis,2,0.02806,4.1,4.1,2,2,0,0,leaves,17,62,14,2,2,0,69,41,1,0,42,83,Cliff
2017-06-26,177,2,46.2,5.1,18,PolBis,3,0.05807,4.2,4.2,4,4,0,0,leaves,28,63,10,8,3,2,67,19,0,0,19,72,Cliff
2017-06-26,177,2,46.2,5.1,19,PolBis,4,0.11254,5.9,5.9,3,3,0,0,leaves,14,48,48,3,5,0,92,59,0,14,73,86,Cormac
2017-06-26,177,2,46.2,5.1,20,PolBis,5,0.00494,2.6,2.6,1,1,0,0,leaves,17,58,47,6,2,0,91,20,0,0,20,83,Cormac
2017-07-02,183,8,46.5,5.4,1,ArtSco,1,0.05132,3.1,3.1,5,5,0,0,leaves,60,25,5,0,10,0,30,25,0,0,25,40,Cliff
2017-07-02,183,8,46.5,5.4,2,ArtSco,2,0.03919,3.2,3.2,6,6,0,0,leaves,6,42,69,3,2,0,89,58,0,9,59,94,Cormac
2017-07-02,183,8,46.5,5.4,3,ArtSco,3,0.03582,3.1,3.1,5,5,0,0,leaves,11,58,23,7,3,0,69,40,0.5,2,40.5,89,Cliff
2017-07-02,183,8,46.5,5.4,4,ArtSco,4,0.03892,4.6,4.6,4,4,0,0,leaves,28,46,23,7,0.5,0,53.5,30,0,1,30,72,Cliff
