Sample_ID,Treatment,Time_point,plot,organic_matter_percent,P1_weakBray_ppm,P2_strongBray_ppm,K_ppm,Mg_ppm,Ca_ppm,pH,pH_buffer_index,cation_exchange_meq_per_100g,K_percent_base_saturation,Mg_percent_base_saturation,Ca_percent_base_saturation,H_percent_base_saturation,Nitrate_ppm,Nitrate_lbs_per_A,Ammonia_N_ppm,Total_N_ppm,texture_sand_percent,texture_silt_percent,texture_clay_percent,soil_type
CF_I_107,0H,1,107,4.8,42,146,637,585,2555,6.9,NA,19.3,8.5,25.3,66.2,0,7,8,3,3648,36,28,36,clay_loam
CF_I_108,2H,1,108,4,35,127,670,579,2951,6.7,NA,21.3,8.1,22.7,69.2,0,17,20,2,4185,32,28,40,clay
CF_I_109,0H,1,109,4.8,37,134,630,609,2842,6.8,NA,20.9,7.7,24.3,68,0,9,11,3,4376,36,28,36,clay_loam
CF_I_111,2H,1,111,4.5,36,129,627,523,2617,6.7,NA,19.1,8.4,22.8,68.8,0,17,20,3,4147,38,28,34,clay_loam
CF_I_112,5H,1,112,4.5,35,136,544,419,2383,6.6,6.8,17.9,7.8,19.5,66.6,6.1,17,20,2,3346,40,26,34,clay_loam
CF_I_116,5H,1,116,4.5,32,121,567,380,2276,6.7,NA,16,9.1,19.8,71.1,0,16,19,2,3732,46,28,26,sandy_clay_loam
CF_I_117,2H,1,117,4.6,31,103,574,381,2264,6.6,6.9,17,8.7,18.7,66.6,6,18,22,4,3464,48,24,28,sandy_clay_loam
CF_I_120,5H,1,120,4.4,39,116,646,413,2250,6.8,NA,16.3,10.1,21.1,68.8,0,11,13,3,3159,46,28,26,sandy_clay_loam
CF_I_122,5H,1,122,4.8,32,127,597,400,2496,6.8,NA,17.3,8.8,19.3,71.9,0,15,18,2,3599,48,26,26,sandy_clay_loam
CF_I_124,2H,1,124,4.4,32,118,626,386,2943,7.2,NA,19.5,8.2,16.5,75.3,0,14,17,1,3950,50,26,24,sandy_clay_loam
CF_I_125,0H,1,125,4.3,32,122,576,359,3177,7.3,NA,20.4,7.2,14.7,78.1,0,0.3,4,3,3168,50,24,26,sandy_clay_loam
CF_I_126,0H,1,126,4.3,32,129,529,314,2497,7.2,NA,16.5,8.2,15.9,75.9,0,5,6,2,3166,52,24,24,sandy_clay_loam
CF_II_107,0H,2,107,5.6,32,128,689,576,2692,6.8,NA,20,8.8,24,67.2,0,13,16,2,NA,NA,NA,NA,NA
CF_II_108,2H,2,108,6.2,32,137,765,556,2806,6.5,6.7,22.3,8.8,20.8,62.9,7.5,21,25,2,NA,NA,NA,NA,NA
CF_II_109,0H,2,109,5.4,32,128,703,575,2698,6.7,NA,20.1,9,23.8,67.2,0,10,12,2,NA,NA,NA,NA,NA
CF_II_111,2H,2,111,5.2,32,138,640,501,2580,6.5,6.8,20.2,8.1,20.7,63.9,7.3,11,13,2,NA,NA,NA,NA,NA
CF_II_112,5H,2,112,5.1,32,132,631,449,2485,6.5,6.8,19.2,8.4,19.5,64.7,7.4,21,25,2,NA,NA,NA,NA,NA
CF_II_116,5H,2,116,4.6,32,130,623,372,2217,6.5,6.8,17.1,9.3,18.1,64.8,7.8,18,22,3,NA,NA,NA,NA,NA
CF_II_117,2H,2,117,5.4,32,117,639,389,2333,6.6,6.8,17.6,9.3,18.4,66.3,6,12,14,2,NA,NA,NA,NA,NA
CF_II_120,5H,2,120,5.3,32,135,643,415,2344,6.5,6.8,18.2,9.1,19,64.4,7.5,25,30,3,NA,NA,NA,NA,NA
