ID,Species,Code,Row,Herbicide,Seeding,Date,Viewer,FRE.H,FRE.A,FRE.V,FRE.OL,FRE.Tot,AMF.H,AMF.A,AMF.V,AMF.OL,AMF.Tot,DSE.H,DSE.M,DSE.OL,DSE.Tot,NM,Tot.Perc.Col,FRE.Yes,FRE.No,AMF.Yes,AMF.No,DSE.Yes,DSE.No,Egg.Fungus,Blue.Spheres,Photos,Notes
BrIn71,Bromus inermis,BrIn,71,0,Seeded,7/2/19,Abby,0,0,0,0,0,10,0,0.5,0,10.5,0,0,0,0,90,10,0,100,10,90,0,100,0,0,None,None
BrIn72,Bromus inermis,BrIn,72,0,Unseeded,7/2/19,Cliff,0,0,0,0,0,28,0,4,3,29,5,0,0,5,66,34,0,100,29,71,5,95,0,0,None,None
BrIn79,Bromus inermis,BrIn,79,0,Seeded,7/3/19,Cliff,3,0,0,0,3,6,0,0,0,6,1,1,0,2,90,10,3,97,6,94,2,98,0,15,"Jul 3 Photo 1 160 X, Photo 2 160 X",None
BrIn84,Bromus inermis,BrIn,84,0,Seeded,7/3/19,Abby,0,0,0,0,0,13,0,3,0,16,0,0,0,0,84,16,0,100,16,84,0,100,0,0,None,None
BrIn87,Bromus inermis,BrIn,87,0,Seeded,7/5/19,Cliff,1,0,0,0,1,40,2,0,1,41,7,0,0,7,60,40,1,99,41,59,7,93,0,0,None,"Viewed by Adam, but Cliff was present"
BrIn90,Bromus inermis,BrIn,90,0,Unseeded,7/5/19,Cliff,2,0,0,0,2,6,1,1,0,8,24,0,0,24,72,28,2,98,8,92,24,76,0,0,Jul 5 Photo 1 200 X,None
BrIn70,Bromus inermis,BrIn,70,2,Seeded,7/3/19,Cliff,1,0,0,0,1,1,0,0,0,1,2,0,0,2,97,3,1,99,1,99,2,98,0,2,None,None
BrIn76,Bromus inermis,BrIn,76,2,Seeded,7/3/19,Cliff,8,0,0,0,8,31,2,0,2,31,5,0,0,5,65,35,8,92,31,69,5,95,0,0,None,"Viewed by Adam, but Cliff was present"
BrIn78,Bromus inermis,BrIn,78,2,Seeded,7/1/19,Cliff,0,0,0,0,0,12,4,0,4,12,8,0,0,8,80,20,0,100,12,88,8,92,0,0,None,None
BrIn81,Bromus inermis,BrIn,81,2,Seeded,7/5/19,Abby,0,0,0,0,0,11,0,1,0,12,0,0,0,0,88,12,0,100,12,88,0,100,0,0,None,None
BrIn85,Bromus inermis,BrIn,85,2,Unseeded,7/29/19,Abby,0,0,0,0,0,9,0,0.5,0,9.5,14,0,0,14,79,21,0,100,9,91,14,86,0,0,None,None
BrIn88,Bromus inermis,BrIn,88,2,Seeded,7/19/19,Abby,0,0,0,0,0,13,0,0.5,0,13.5,6,0,0,6,81,19,0,100,13,87,6,94,0,0,None,None
