JarID,Treatment,Number,Week,Days,WeekPoint,CO2_Week,Reset,WeekPointBuildup,DailyBuildup,CO2_Cum,Rate
Jar1,Control,1,1,0,0,405,NA,NA,NA,405,0
Jar2,Control,2,1,0,0,405,NA,NA,NA,405,0
Jar3,Control,3,1,0,0,405,NA,NA,NA,405,0
Jar4,Control,4,1,0,0,405,NA,NA,NA,405,0
Jar5,Control,5,1,0,0,405,NA,NA,NA,405,0
Jar1,Control,1,1,4,1,1099,NA,694,173.5,1099,NA
Jar2,Control,2,1,4,1,761,NA,356,89,761,NA
Jar3,Control,3,1,4,1,1173,NA,768,192,1173,NA
Jar4,Control,4,1,4,1,764,NA,359,89.75,764,NA
Jar5,Control,5,1,4,1,1135,NA,730,182.5,1135,NA
Jar1,Control,1,1,7,2,838,703,-261,-87,838,61.85714286
Jar2,Control,2,1,7,2,753,623,-8,-2.666666667,753,49.71428571
Jar3,Control,3,1,7,2,1149,552,-24,-8,1149,106.2857143
Jar4,Control,4,1,7,2,775,491,11,3.666666667,775,52.85714286
Jar5,Control,5,1,7,2,932,484,-203,-67.66666667,932,75.28571429
Jar1,Control,1,2,11,1,815,NA,112,28,950,NA
Jar2,Control,2,2,11,1,647,NA,24,6,777,NA
Jar3,Control,3,2,11,1,916,NA,364,91,1513,NA
Jar4,Control,4,2,11,1,825,NA,334,83.5,1109,NA
Jar5,Control,5,2,11,1,779,NA,295,73.75,1227,NA
Jar1,Control,1,2,14,2,1681,684,866,288.6666667,1816,139.7142857
Jar2,Control,2,2,14,2,1117,732,470,156.6666667,1247,70.57142857
Jar3,Control,3,2,14,2,1134,697,218,72.66666667,1731,83.14285714
Jar4,Control,4,2,14,2,1545,630,720,240,1829,150.5714286
Jar5,Control,5,2,14,2,2006,628,1227,409,2454,217.4285714
Jar1,Control,1,3,18,1,1251,NA,567,141.75,2383,NA
Jar2,Control,2,3,18,1,809,NA,77,19.25,1324,NA
Jar3,Control,3,3,18,1,1030,NA,333,83.25,2064,NA
