sampleID	taxon_oid	Domain	Sequencing Status	Ecosystem	Study Name	Genome Name / Sample Name	Sequencing Center	Add Date	Assembly Method	Has Coverage	Release Date	Sequencing Method	Genome Size   * assembled	Gene Count   * assembled	GC   * assembled	KO %   * assembled	richness_KO	Hypothesis	Analysis	Latitude	Longitude	Contact Email	Contact Name	JGI Data Utilization Status	JGI Data Utilization Status_GOLD_07Apr2022	PermissionNotes
X3300027887	3300027887	*Microbiome	Permanent Draft	Wetland (freshwater)	Microbial community impact on carbon sequestration in managed wetland Carbon farming	"Wetland microbial communities from Twitchell Island in the Sacramento Delta, sample from surface sediment Aug2011 Site A1 Bulk"	DOE Joint Genome Institute (JGI)	5/13/18	spades v. 3.11.1	Yes	7/12/18	"Illumina HiSeq 2000, Illumina HiSeq 2500"	1716608143	4088418	53.1	36.63	6995	"H2, Ac"	Both	38.107	-121.6475	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005895	3300005895	*Microbiome	Permanent Draft	Rice field	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Rice paddy soil microbial communities from Twitchell Island, California, USA - SF_Rice_10C_0N_101"	DOE Joint Genome Institute (JGI)	9/19/15	MEGAHIT v. MEGAHIT v0.2.0	Yes	7/31/17	Illumina HiSeq 2500-1TB	308047603	1038716	61.37869	44.9	5576	"H2, Ac"	Both	38.1087	-121.653	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005893	3300005893	*Microbiome	Permanent Draft	Rice field	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Rice paddy soil microbial communities from Twitchell Island, California, USA - SF_Rice_10C_0N_202"	DOE Joint Genome Institute (JGI)	9/19/15	MEGAHIT v. MEGAHIT v0.2.0	Yes	7/31/17	Illumina HiSeq 2500-1TB	295883567	1005278	64.37753	46.33	5723	"H2, Ac"	Both	38.1087	-121.653	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005905	3300005905	*Microbiome	Permanent Draft	Rice field	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Rice paddy soil microbial communities from Twitchell Island, California, USA - SF_Rice_5C_0N_105"	DOE Joint Genome Institute (JGI)	9/20/15	MEGAHIT v. MEGAHIT v0.2.0	Yes	7/31/17	Illumina HiSeq 2500-1TB	414020377	1388708	60.9465	44.42	5866	"H2, Ac"	Both	38.1087	-121.653	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005894	3300005894	*Microbiome	Permanent Draft	Rice field	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Rice paddy soil microbial communities from Twitchell Island, California, USA - SF_Rice_5C_0N_203"	DOE Joint Genome Institute (JGI)	9/19/15	MEGAHIT v. MEGAHIT v0.2.0	Yes	7/31/17	Illumina HiSeq 2500-1TB	307738052	1052103	62.83976	45.81	5637	"H2, Ac"	Both	38.1087	-121.653	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005899	3300005899	*Microbiome	Permanent Draft	Rice field	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Rice paddy soil microbial communities from Twitchell Island, California, USA - SF_Rice_5C_0N_302"	DOE Joint Genome Institute (JGI)	9/20/15	MEGAHIT v. MEGAHIT v0.2.0	Yes	7/31/17	Illumina HiSeq 2500-1TB	365876524	1167455	61.39954	44.31	5729	"H2, Ac"	Both	38.1087	-121.653	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005900	3300005900	*Microbiome	Permanent Draft	Rice field	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Rice paddy soil microbial communities from Twitchell Island, California, USA - SF_Rice_5C_0N_404"	DOE Joint Genome Institute (JGI)	9/20/15	MEGAHIT v. MEGAHIT v0.2.0	Yes	7/31/17	Illumina HiSeq 2500-1TB	363461725	1124237	62.21458	43.84	5619	"H2, Ac"	Both	38.1087	-121.653	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005901	3300005901	*Microbiome	Permanent Draft	Rice field	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Rice paddy soil microbial communities from Twitchell Island, California, USA - SF_Rice_5C_80N_201"	DOE Joint Genome Institute (JGI)	9/20/15	MEGAHIT v. MEGAHIT v0.2.0	Yes	7/31/17	Illumina HiSeq 2500-1TB	304998247	1030129	62.27865	45.2	5613	"H2, Ac"	Both	38.1087	-121.653	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300005892	3300005892	*Microbiome	Permanent Draft	Rice field	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Rice paddy soil microbial communities from Twitchell Island, California, USA - SF_Rice_5C_80N_305"	DOE Joint Genome Institute (JGI)	9/19/15	MEGAHIT v. MEGAHIT v0.2.0	Yes	7/31/17	Illumina HiSeq 2500-1TB	328627345	1096480	61.4839	45.1	5744	"H2, Ac"	Both	38.1087	-121.653	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300014318	3300014318	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - Sandmound_ThreeSqA_D1_rd"	DOE Joint Genome Institute (JGI)	3/16/17	MEGAHIT v. MEGAHIT v1.0.6	Yes	2/12/20	Illumina HiSeq 2500-1TB	362213290	931514	64.97	43.84	5939	"H2, Ac"	Both	38.000637	-121.624207	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300014324	3300014324	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - Sandmound_TuleA_D1"	DOE Joint Genome Institute (JGI)	3/17/17	MEGAHIT v. MEGAHIT v1.0.6	Yes	2/12/20	Illumina HiSeq 2500-1TB	502229222	1232827	63.51	44.21	6148	"H2, Ac"	Both	38.000706	-121.624306	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300014321	3300014321	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - Sandmound_TuleB_D1"	DOE Joint Genome Institute (JGI)	3/17/17	MEGAHIT v. MEGAHIT v1.0.6	Yes	2/12/20	Illumina HiSeq 2500-1TB	381838146	952110	63.32	44.95	5934	"H2, Ac"	Both	38.000706	-121.624306	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300014308	3300014308	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - Sandmound_TuleC_D1"	DOE Joint Genome Institute (JGI)	3/16/17	MEGAHIT v. MEGAHIT v1.0.6	Yes	2/12/20	Illumina HiSeq 2500-1TB	295352678	748751	64.14	45.29	5717	"H2, Ac"	Both	38.000706	-121.624306	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300014322	3300014322	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_CattailA_D1"	DOE Joint Genome Institute (JGI)	3/17/17	MEGAHIT v. MEGAHIT v1.0.6	Yes	2/12/20	Illumina HiSeq 2500-1TB	400477794	959272	63.04	42.07	6374	"H2, Ac"	Both	38.107536	-121.649704	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300014323	3300014323	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_CattailB_D1"	DOE Joint Genome Institute (JGI)	3/17/17	MEGAHIT v. MEGAHIT v1.0.6	Yes	2/12/20	Illumina HiSeq 2500-1TB	391579058	964323	61.22	42.17	6240	"H2, Ac"	Both	38.107536	-121.649704	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300014303	3300014303	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_TuleA_D1"	DOE Joint Genome Institute (JGI)	3/16/17	MEGAHIT v. MEGAHIT v1.0.6	Yes	2/12/20	Illumina HiSeq 2500-1TB	270217193	700739	58.81	42.5	6100	"H2, Ac"	Both	38.107521	-121.649681	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300014266	3300014266	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_TuleB_D1"	DOE Joint Genome Institute (JGI)	3/16/17	MEGAHIT v. MEGAHIT v1.0.6	Yes	2/12/20	Illumina HiSeq 2500-1TB	285945592	733968	59.05	43.53	6134	"H2, Ac"	Both	38.107521	-121.649681	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300014261	3300014261	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration - WestPond_TuleC_D1"	DOE Joint Genome Institute (JGI)	3/16/17	MEGAHIT v. MEGAHIT v1.0.6	Yes	2/12/20	Illumina HiSeq 2500-1TB	269317205	701529	59.91	43.28	6089	"H2, Ac"	Both	38.107521	-121.649681	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300004062	3300004062	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - Sandmound_ThreeSqA_D2"	DOE Joint Genome Institute (JGI)	3/21/15	megahit v. megahit: MEGAHIT v0.2.0	Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	550286534	1730962	62.63897	44.43	6003	"H2, Ac"	Both	38.000637	-121.624207	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300004058	3300004058	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - Sandmound_ThreeSqB_D1"	DOE Joint Genome Institute (JGI)	3/20/15	megahit v. megahit: MEGAHIT v0.2.0	Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	615862954	2092290	63.62487	43.75	6168	"H2, Ac"	Both	38.000637	-121.624207	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
X3300004047	3300004047	*Microbiome	Permanent Draft	Wetland (freshwater)	"Natural and restored wetland microbial communities from the San Francisco Bay, California, USA, that impact long-term carbon sequestration"	"Wetland microbial communities from San Francisco Bay, California, USA, that impact long-term carbon sequestration - Sandmound_ThreeSqC_D1"	DOE Joint Genome Institute (JGI)	3/19/15	megahit v. megahit: MEGAHIT v0.2.0	Yes	2/12/20	"Illumina HiSeq 2500, Illumina HiSeq 2500-Rapid"	530897678	1855461	62.74278	43.15	6049	"H2, Ac"	Both	38.000637	-121.624207	sgtringe@lbl.gov	Susannah Tringe	Restricted	Restricted	PI contacted and permission given
