Year,Plot,Sequences,Type
2007,0,38200,Vascular
2007,30,45930,Moss
2007,56,51805,Vascular
2007,63,39928,Moss
2007,65,47930,Moss
2007,66,28008,Vascular
2007,74,34629,Vascular
2007,89,28250,Moss
2007,95,2750,Vascular
2007,99,35568,Vascular
2007,104,51920,Vascular
2007,106,36620,Vascular
2007,107,23063,Moss
2007,119,32651,Moss
2007,120,38031,Vascular
2007,132,39593,Vascular
2007,137,44987,Moss
2007,139,11043,Moss
2007,157,39232,Moss
2007,159,32432,Moss
2015,0,37736,Vascular
2015,30,41646,Moss
2015,56,6917,Vascular
2015,63,54463,Moss
2015,65,39993,Moss
2015,66,52858,Vascular
2015,74,70813,Vascular
2015,89,49363,Vascular
2015,95,29432,Vascular
2015,99,43941,Vascular
2015,104,14739,Vascular
2015,106,20558,Vascular
2015,107,56032,Vascular
2015,119,29983,Vascular
2015,120,16086,Vascular
2015,132,35094,Vascular
2015,137,14913,Vascular
2015,139,27520,Moss
2015,157,52836,Moss
2015,159,29262,Moss
