sample,MBC,CO2l,qCO2l,CO2d,qCO2d,Soil_H2O,ExtractC,ethL,nfixL,ethD,nfixD,ExtractN,MBN,pH,Class,NAG,BG,PHOS,PHENOX
V1,62899.25634,182722.2032,2.90499783,91336.53647,1.452108368,0.4,12151.36,4.037299377,6.42E-05,1.455409164,2.31E-05,1098.753148,5529.93988,5.24,Vasular,335.7629879,772.1561527,1495.612508,0
V2,46714.27133,33985.6396,0.727521561,18925.81319,0.405139857,0.33,8204.4,1.359084429,2.91E-05,0.520487627,1.11E-05,786.0123638,4116.984869,4.54,Vasular,221.5236134,633.7989622,1117.905565,0
V3,48596.72794,39647.16446,0.815840205,40533.23677,0.834073373,0.32,9157.83,1.187799088,2.44E-05,1.081872161,2.23E-05,1045.067827,5166.83953,4.44,Vasular,172.875077,602.3374339,1150.424297,5.58239778
V4,27930.75658,45345.12753,1.623483682,31293.42011,1.120392855,0.28,9421.33,1.34514826,4.82E-05,0.881605032,3.16E-05,774.345545,2481.005644,4.79,Vasular,223.2607493,597.9117273,1214.682955,2.18627932
V5,23785.65447,5655.269368,0.23775967,29816.06964,1.253531606,0.3,8039.16,0.025505442,1.07E-06,0.62727317,2.64E-05,854.019877,2351.817685,4.54,Vasular,120.0292833,492.6020516,868.6742222,5.035104893
V6,47982.89069,18868.54714,0.393234898,26810.81559,0.558757824,0.36,11282.75,0.576543334,1.20E-05,0.74898253,1.56E-05,752.4773272,5040.369816,4.73,Vasular,229.6315819,708.7861888,1281.392014,2.894018675
V7,44049.44275,18844.63631,0.427806463,33764.828,0.766521116,0.31,8550.48,0.58120278,1.32E-05,0.76091554,1.73E-05,692.3406381,4018.752372,4.54,Vasular,187.4612825,651.7241725,1321.52778,1.772671313
V8,40604.92918,20915.08168,0.515087259,32203.33033,0.793089188,0.29,8171.95,0.429246768,1.06E-05,0.655849598,1.62E-05,867.8485015,3621.588406,4.71,Vasular,237.1688332,533.3985877,974.1998382,3.262143578
B1,15965.03772,7665.742025,0.48015809,5993.936471,0.375441422,0.18,5416.09,0.194651452,1.22E-05,0.23577816,1.48E-05,615.1919384,1351.776754,4.62,Moss,65.18671727,293.115792,747.4863553,0
B2,18964.8555,13212.46187,0.696681389,22221.36435,1.171712821,0.2,5258.62,0.446762201,2.36E-05,0.52094419,2.75E-05,644.6934446,1597.795039,4.33,Moss,45.77437003,305.4001231,662.9601739,2.058819673
B3,28923.72331,16791.4234,0.580541558,14396.14404,0.497727899,0.23,6103.61,0.533712743,1.85E-05,0.345788266,1.20E-05,616.9762671,2389.154303,4.45,Moss,136.4642175,375.2909799,942.1844343,0.496973267
B4,31610.20914,9032.431114,0.285744111,4106.612286,0.129914113,0.27,9527.91,0.426409372,1.35E-05,0.40917977,1.29E-05,730.2965641,3014.21567,4.5,Moss,118.4812509,498.2585123,981.1271371,3.589228801
B5,17258.40224,10394.47456,0.602284871,15472.08239,0.896495642,0.19,6391.93,0.437727442,2.54E-05,0.64857809,3.76E-05,549.370918,1440.734194,4.53,Moss,53.63544894,0,696.9934105,1.652824572
B6,25115.50237,11477.43193,0.456985959,4221.052625,0.168065626,0.21,5189.43,0.483983694,1.93E-05,0.097850312,3.90E-06,414.1256257,2089.400415,4.63,Moss,87.03947384,431.5971466,902.0418453,3.339024997
B7,13415.87744,11503.54258,0.85745734,4847.911223,0.361356254,0.18,5753.88,0.50376268,3.75E-05,0.162351705,1.21E-05,897.4780972,1093.466407,4.69,Moss,93.67125888,336.4827693,760.710128,1.845791034
B8,31065.82263,8473.621671,0.272763473,27070.85469,0.871403117,0.24,6319.6,0.29918035,9.63E-06,0.689979357,2.22E-05,596.7502401,2472.660026,5.03,Moss,168.2706974,439.3855884,1063.988997,0
