Taxon	V1	V2	V3	V4	V5	V6	V7	V8	B1	B2	B3	B4	B5	B6	B7	B8
Unclassified;Other;Other;Other	0.00056338	0.00056338	0.000633803	0.001478873	7.04E-05	0.001267606	0.000211268	7.04E-05	0	0	0	0.001126761	0	0.000352113	0	0.000211268
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J	0	0	0	0	0.000140845	0	0	0	7.04E-05	0	0	0.000140845	0.00028169	0	0	0.000352113
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales	0.002535211	0.003028169	0.003380282	0.001126761	0.003028169	0.002535211	0.002746479	0.001619718	0.002887324	0.003661972	0.001478873	0.001056338	0.001197183	0.001901408	0.000915493	0.001126761
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	0	0	0	0	0	0	0	0	0.000211268	0	0	0	0	0	0	0
k__Bacteria;Other;Other;Other	0.08471831	0.06971831	0.044084507	0.084577465	0.03056338	0.033732394	0.047464789	0.068028169	0.027464789	0.020633803	0.04584507	0.027394366	0.028450704	0.020422535	0.034647887	0.041478873
k__Bacteria;p__AD3;c__ABS-6;o__	0.000774648	0.003028169	0.002816901	0.000633803	0.015704225	0.002183099	0.002816901	0.001126761	0.004507042	0.004929577	0.01084507	0.000985915	0.007323944	0.001690141	0.005211268	0.00084507
k__Bacteria;p__AD3;c__JG37-AG-4;o__	0.004084507	0.005915493	0.002957746	0.001901408	0.007323944	0.001830986	0.004577465	0.004577465	0.007746479	0.008661972	0.012042254	0.003943662	0.009014085	0.005352113	0.005633803	0.005633803
k__Bacteria;p__Acidobacteria;c__;o__	0	0	0	0	0	0	0	7.04E-05	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__	0	0.000140845	0.000140845	0.000211268	0.000352113	0	0	0.000140845	0.000422535	7.04E-05	0.00028169	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.006690141	0.006408451	0.006408451	0.005774648	0.017394366	0.007183099	0.005422535	0.002816901	0.006971831	0.004507042	0.012746479	0.002605634	0.005140845	0.002042254	0.003380282	0.004577465
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	0.093309859	0.070633803	0.061901408	0.093873239	0.069014085	0.065704225	0.056971831	0.071197183	0.060985915	0.040352113	0.040422535	0.065704225	0.062605634	0.051549296	0.078591549	0.063309859
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513	0.034577465	0.022323944	0.009366197	0.014647887	0.027535211	0.012535211	0.017464789	0.02084507	0.020774648	0.015422535	0.018802817	0.011338028	0.018450704	0.015985915	0.017464789	0.015492958
k__Bacteria;p__Acidobacteria;c__EC1113;o__	0	0.00028169	7.04E-05	0	0	7.04E-05	7.04E-05	7.04E-05	7.04E-05	0	0.000211268	0.000140845	7.04E-05	0.000422535	0	0
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales	0	0	0	0	0	0	0	0.000140845	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__JH-WHS99	7.04E-05	0	0	0	0.000211268	0	0	0	0	0	0.000140845	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0.065352113	0.068521127	0.061197183	0.040492958	0.055422535	0.050352113	0.073591549	0.065352113	0.059014085	0.082887324	0.045140845	0.064084507	0.059929577	0.062676056	0.042887324	0.060915493
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725	0.001056338	0.000422535	0.000140845	0.000352113	0.002394366	0.003239437	0.000352113	7.04E-05	0.000140845	7.04E-05	0.00028169	7.04E-05	0.000140845	0.000211268	0.000140845	7.04E-05
