Taxon	S.0	S.30	S.56	S.63	S.65	S.66	S.74	S.89	S.95	S.99	S.104	S.106	S.107	S.119	S.120	S.132	S.137	S.139	S.157	S.159	S.89.15	S.107.15	S.119.15	S.137.15
Unclassified;Other;Other	0	0	0	0	0	0	0	0	0	2.81E-05	0	0	0	0	0	0	0	0	0	3.08E-05	0	3.57E-05	0	0
k__Archaea;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__MBGA	0.0006531	0	3.86E-05	0	6.24E-05	0.000784593	0.001212611	0	0	2.81E-05	0.000115498	0.000955397	4.33E-05	0	0.000394094	0.000151076	0.000177506	0.000360263	0.000915704	0	0.000161842	0	0.000432843	0.000267666
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	0.013140364	0.001283222	0.017542507	0.009565784	0.000852391	0.004350927	0.007650999	0.002051717	0.001816201	0.012634771	0.02134786	0.004449419	0.007315701	0.005661994	0.003362934	0.007276848	0.004082629	0.005584076	0.004273287	0.020886602	0.007768404	0.002710075	0.010088566	0.00629015
k__Archaea;p__Euryarchaeota;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	2.61E-05	0	0	0	4.16E-05	0	0.00017323	0	0.00108972	0	0	0	0.000129865	0	0.000788188	0	0.000221882	9.01E-05	5.09E-05	0	8.09E-05	0.000552713	0.00029966	0.000468415
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0	0	0	0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea]	0	0	3.86E-05	0	0	0	0.00017323	0.001096608	0.00072648	0	0	0	0	0	0.000709369	0	8.88E-05	0	0	0	8.09E-05	1.78E-05	6.66E-05	0.002275161
k__Bacteria;Other;Other	0.013453852	0.018073861	0.006284458	0.03818801	0.011060291	0.016726106	0.015994919	0.018005589	0.003632401	0.010304358	0.020654873	0.011492057	0.012510281	0.022739793	0.003993484	0.010248017	0.015110164	0.015941637	0.023146971	0.020670959	0.007687484	0.008415497	0.006226277	0.015323876
k__Bacteria;p__;c__	0	0	0	0	2.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
