Taxon	S.0	S.30	S.56	S.63	S.65	S.66	S.74	S.89	S.95	S.99	S.104	S.106	S.107	S.119	S.120	S.132	S.137	S.139	S.157	S.159	S.89.15	S.107.15	S.119.15	S.137.15	S.0.2015	S.30.2015	S.56.2015	S.63.2015	S.65.2015	S.66.2015	S.74.2015	S.95.2015	S.99.2015	S.104.2015	S.106.2015	S.120.2015	S.132.2015	S.139.2015	S.157.2015	S.159.2015			
Unclassified;Other;Other;Other	0	0	0	0	0	0	0	0	0	2.81E-05	0	0	0	0	0	0	0	0	0	3.08E-05	0	3.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Archaea;Other;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J	0.0006531	0	3.86E-05	0	6.24E-05	0.000784593	0.001212611	0	0	2.81E-05	0.000115498	0.000955397	4.33E-05	0	0.000394094	0.000151076	0.000177506	0.000360263	0.000915704	0	0.000161842	0	0.000432843	0.000267666	0	0	0	7.34E-05	0	0.000340323	9.88E-05	0.000509615	2.27E-05	6.78E-05	0.001361603	0.000310791	0.000142454	0.000580088	0.000906944	0.000170765			
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;Other	0	0	0	0	0	0	0	0	0	0	1.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales	0	4.35E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000315275	0	0	0	0	0	0.000445065	0	0	0	0	0.000119941	0	0	0	0	8.47E-05	3.40E-05	0	0	0	0	0	7.25E-05	0	0.000375683			
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales	0.013140364	0.001239723	0.017542507	0.009565784	0.000852391	0.004350927	0.007650999	0.002051717	0.001816201	0.012634771	0.021328611	0.004449419	0.007315701	0.005661994	0.003047659	0.007276848	0.004082629	0.005584076	0.004273287	0.020886602	0.00732334	0.002710075	0.010088566	0.00629015	0.003020668	0.007244465	0.00216857	0.007819383	0	0.003270878	0.003896819	0.002582048	0.007816761	0.01017156	0.006370356	0.011934361	0.003846263	0.002827931	0.003571091	0.000648907	 		
k__Archaea;p__Euryarchaeota;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89E-05	0	0	0	0	0	0	0	0	0	0			
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;Other	0	0	0	0	0	0	5.77E-05	0	0.00036324	0	0	0	0.000129865	0	0.000341548	0	6.66E-05	0	2.54E-05	0	0	1.78E-05	6.66E-05	6.69E-05	0.000211977	0	0	0	0	0.000434857	7.06E-05	3.40E-05	6.82E-05	0	0	0.000497265	0	7.25E-05	0	0		 	
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	2.61E-05	0	0	0	4.16E-05	0	0.000115487	0	0.00072648	0	0	0	0	0	0.00044664	0	0.000155317	9.01E-05	2.54E-05	0	8.09E-05	0.000534883	0.000233069	0.000401499	0.000317965	0	0	0	0	0.000680645	0.000112951	6.79E-05	0.000772587	0	0	0.000621581	0	0.000217533	7.56E-05	3.42E-05			 
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
