eco_year,sumallPC1,sumallPC2,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT,sum_GDD,GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip,moisturedeficit,pet,sum_moisturedeficit,fal_moisturedeficit,spr_PET,sum_PET,fal_PET,sdl_meltout,dm_meltout,ff_meltout,mm_meltout,sb_meltout,wm_meltout,iceoff_Albion,iceoff_Arikaree,iceoff_GL1,iceoff_GL2,iceoff_GL3,iceoff_GL4,iceoff_GL5,iceoff_Silver,iceon_Albion,iceon_Arikaree,iceon_GL1,iceon_GL2,iceon_GL3,iceon_GL4,iceon_GL5,iceon_Silver,lag_PC1
1982,-1.306994203,0.133900591,-1.039450549,-7.314021739,5.854565217,-13.02433333,-3.838493151,301.2351092,399.1251488,82,57,79,96,65.13,132.6,196,233.22,626.95,29.29002071,269.7451292,2.403478466,26.88654224,5.521103003,193.3907928,70.83323337,NA,NA,NA,NA,NA,NA,166,NA,175,180,180,207,207,NA,283,NA,283,283,283,283,283,NA,NA
1983,-1.251722507,-0.101982219,-3.848571429,-8.436304348,6.407826087,-10.10988889,-3.963643836,307.8633654,367.2937592,86,51,70,98,65.13,226.2,216,100.23,607.56,4.382222145,247.8271173,0,4.382222145,6.195477036,192.9469823,48.68465794,NA,NA,NA,NA,NA,NA,173,NA,174,181,181,208,209,169,293,NA,286,286,286,288,286,NA,-1.306994203
1984,-1.12770173,-0.749083729,-2.851868132,-7.209565217,6.358369565,-13.77747253,-4.348579235,305.0571564,414.7469299,72,58,100,111,106.08,150.15,327,109.59,692.82,13.72715669,284.9149542,0.24582187,13.48133482,25.16394015,200.8738251,58.87718896,NA,NA,NA,NA,NA,NA,173,NA,168,164,162,201,208,159,NA,NA,NA,NA,NA,284,284,NA,-1.251722507
1985,-0.272171437,1.532602152,-4.153186813,-4.564673913,6.703695652,-13.50966667,-3.827452055,343.9460817,442.1111604,46,38,44,88,149.37,154.44,99,139.62,542.43,35.6579604,288.8956597,34.64349769,1.014462713,31.04268034,209.0624636,48.79051574,NA,NA,NA,NA,NA,NA,154,NA,160,158,162,187,193,150,NA,NA,273,273,273,273,269,NA,-1.12770173
1986,-0.759811256,0.409712169,-4.107912088,-5.375869565,6.282065217,-12.28533333,-3.825013699,313.3216658,387.7322881,62,47,42,107,143.91,180.96,165,213.33,703.2,30.04717049,262.5579551,10.64360374,19.40356675,11.67185476,205.5346788,45.35142156,NA,NA,NA,NA,NA,NA,168,NA,170,170,172,201,205,156,307,NA,291,289,291,289,289,NA,-0.272171437
1987,0.403125388,0.596705168,-2.053736264,-2.907717391,8.196521739,-10.858,-1.856273973,450.9289921,600.5919792,4,10,44,113,107.25,137.28,170,132.6,547.13,28.94746723,305.250216,10.95165368,17.99581355,45.01001697,207.8940084,52.34619064,NA,NA,NA,NA,NA,NA,132,NA,134,137,139,178,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.759811256
1988,0.661178817,1.306899542,-0.331538462,-4.960326087,9.376304348,-12.70582418,-2.131502732,503.068965,682.7418085,43,15,81,113,58.5,290.94,91,224.25,664.69,76.69529582,314.9843557,50.53689406,26.15840176,30.94799328,217.5872638,65.78510022,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,189,NA,NA,NA,264,NA,NA,NA,310,308,NA,0.403125388
1989,-0.377986655,1.359346391,-1.155604396,-3.126304348,7.382608696,-11.516,-2.054849315,412.4004988,605.4037727,9,47,76,80,118.95,138.06,145,218.01,620.02,70.48177877,300.4504658,27.05865013,43.42312864,42.55762601,195.605438,62.28740175,NA,NA,NA,NA,NA,NA,154,NA,168,166,169,192,194,131,306,257,306,306,306,299,299,NA,0.661178817
1990,0.072310317,-0.237680658,-0.867472527,-1.263369565,8.092282609,-11.64477778,-1.366328767,462.1240513,713.6664073,32,21,1,137,147.81,193.05,248,287.82,876.68,50.08909619,322.7313017,12.25022929,37.83886689,46.58926322,202.2407401,73.71060811,NA,NA,NA,NA,NA,NA,167,NA,160,161,161,189,195,154,NA,256,305,305,305,286,284,NA,-0.377986655
1991,-0.572787946,-0.213188399,-0.584725275,-4.813804348,7.529891304,-11.63422222,-2.329890411,385.4012015,574.3104505,69,44,73,105,136.89,239.85,242,280.41,899.15,12.11715289,308.6788644,5.064715777,7.052437117,31.94220832,204.5879698,72.14868627,NA,NA,NA,NA,NA,NA,147,NA,141,163,155,189,195,144,NA,262,301,301,301,301,301,NA,0.072310317
