Sample ID,Dptotal,Dpinorg,Plot,TIN,Stems07,Stems15,AG.15,BXYL.15,CBH.15,AG.07,CBH.07,BXYL.07,PHENOX.07,PEROX.07,BG.15,NAG.15,LAP.15,PHOS.15,BG.07,NAG.07,PHOS.07,BG.NAG15,BG.NAG07,NAG.PHOS15,NAG.PHOS07,BG.PHOS15,BG.PHOS07
0,5.18,5.45,0,5.540431197,128,313,18.6055026,83.91176317,120.3467245,0.776586,5.977451,3.368574,0.055667,0.670649,330.4447921,37.72090069,,418.5022281,32.20952,2.057395,62.35141,8.760257206,15.65548667,0.090133094,0.032996768,0.789589087,0.516580459
1,0.6,5.25,1,1.242395838,0,3,1.047974454,12.08425727,15.09858521,7.158376081,53.59751862,12.33042663,0.271514337,0.683846708,68.117954,4.860402083,4.459075949,87.45119244,107.3481827,32.68662119,122.3704276,14.01488042,3.284162718,0.055578454,0.267112094,0.778925388,0.877239582
2,5.08,12.59,2,2.552092289,0,0,0.157027238,0.895413932,2.863120411,1.3325952,7.463195522,1.697145535,0.611608352,0.075855693,14.96434212,2.260879754,3.237312113,22.24055693,22.17493073,2.059053689,40.53578354,6.618813802,10.7694767,0.101655717,0.050795951,0.672840261,0.547045815
3,3.25,8.08,3,2.130312975,0,0,0,0.171860826,2.575117566,0.872325651,9.256388798,1.598192486,0,0.882522441,6.034455262,1.380581921,0.629300034,13.86444767,26.57876523,5.515098541,36.1209979,4.370950517,4.819272953,0.099577131,0.152684003,0.435246712,0.735825885
5,2.61,8.95,5,NA,36,86,1.045256299,7.2063169,9.597869571,0.557853327,2.352525168,1.034090666,0,0.36629645,51.00057733,6.012351611,1.238238034,65.40179233,9.584460357,1.857003688,23.63387837,8.482633856,5.161250039,0.091929462,0.078573802,0.77980397,0.40553904
7,0.48,2.71,7,2.148359702,60,105,1.842674211,6.627700733,16.6421698,0.440555105,3.82059763,0.789807156,0,0.488114202,49.48262033,8.43920171,1.978993866,87.19904499,14.60221364,2.556816429,18.85803678,5.863424294,5.711091917,0.096780896,0.135582323,0.567467457,0.774323107
9,2.01,5.94,9,0.540886648,49,94,1.859395603,2.109457755,8.001412907,1.484140552,8.715651166,1.669518536,0,0.107801631,26.85447036,5.477748277,,55.13959759,29.74136132,7.351958852,40.38486996,4.902465211,4.045365585,0.099343276,0.182047357,0.487026956,0.736448114
13,0.86,4.37,13,2.567539737,12,51,1.318472036,2.753522062,7.84614974,0.340383189,1.93977295,0.33422506,0,0.10424482,44.34349564,3.500776572,,60.07815178,7.599705095,0.756013948,18.77448369,12.66675971,10.0523345,0.058270377,0.040268162,0.738096868,0.404789033
18,4.71,8.76,18,2.48701692,54,118,14.89476359,42.0076309,103.1314105,6.555723111,38.10059333,9.342238541,0.108003432,0,320.5554553,63.96507477,,305.6453283,75.0516878,22.74620563,95.55220122,5.011413751,3.299525601,0.209278758,0.238050043,1.048782447,0.785452212
20,9.17,14.39,20,1.924373611,29,38,0.64819456,1.585424233,3.616932537,2.481657997,10.10358679,2.279954113,0.090531427,0.334130965,21.61737125,6.691532701,0.901444196,,25.8366816,5.95060339,49.41924676,3.23055602,4.34185912,NA,0.120410645,NA,0.522806058
