sample,plantsp,plot,plotabcd,density,richness,sourcesp,rep,tmass,amass
29,FesBra,(a) High/High,A,High,23,FesBra,1,0.1388,0.118
30,FesBra,(a) High/High,A,High,23,FesBra,2,0.1989,0.1528
28,FesBra,(a) High/High,A,High,23,FesBra,3,1.2155,0.1939
116,FesBra,(a) High/High,A,High,23,FesBra,4,0.5423,0.2165
27,FesBra,(a) High/High,A,High,23,FesBra,5,1.4273,0.285
118,FesBra,(a) High/High,A,High,23,FesBra,6,0.2185,0.1117
31,FesBra,(a) High/High,A,High,23,FesBra,7,0.13,0.0933
26,FesBra,(a) High/High,A,High,23,FesBra,8,0.6368,0.0799
82,FesBra,(a) High/High,A,High,23,TriSpi,1,0.693,0.3137
128,FesBra,(a) High/High,A,High,23,TriSpi,2,0.024,0
84,FesBra,(a) High/High,A,High,23,TriSpi,3,0.0151,0.0151
56,FesBra,(a) High/High,A,High,23,TriSpi,4,0.0912,0.0301
83,FesBra,(a) High/High,A,High,23,TriSpi,5,0.2528,0.1474
104,FesBra,(a) High/High,A,High,23,TriSpi,6,1.1016,0.4046
87,FesBra,(a) High/High,A,High,23,TriSpi,7,0.0129,0.0087
85,FesBra,(a) High/High,A,High,23,TriSpi,8,0.1326,0.0908
7,TriSpi,(a) High/High,A,High,23,FesBra,1,0.739,0.3019
10,TriSpi,(a) High/High,A,High,23,FesBra,2,0.7213,0.2971
1,TriSpi,(a) High/High,A,High,23,FesBra,3,0.2923,0.1492
52,TriSpi,(a) High/High,A,High,23,FesBra,4,0.9811,0.3052
8,TriSpi,(a) High/High,A,High,23,FesBra,5,0.4563,0.1823
63,TriSpi,(a) High/High,A,High,23,FesBra,6,0.5834,0.1346
9,TriSpi,(a) High/High,A,High,23,FesBra,7,1.0244,0.2679
3,TriSpi,(a) High/High,A,High,23,FesBra,8,0.5229,0.174
107,TriSpi,(a) High/High,A,High,23,TriSpi,1,1.4626,0.4066
66,TriSpi,(a) High/High,A,High,23,TriSpi,2,0.2947,0.0731
88,TriSpi,(a) High/High,A,High,23,TriSpi,3,1.4316,0.6111
114,TriSpi,(a) High/High,A,High,23,TriSpi,4,0.7342,0.347
113,TriSpi,(a) High/High,A,High,23,TriSpi,5,0.4917,0.2306
72,TriSpi,(a) High/High,A,High,23,TriSpi,6,1.2034,0.2237
112,TriSpi,(a) High/High,A,High,23,TriSpi,7,0.4799,0.1899
109,TriSpi,(a) High/High,A,High,23,TriSpi,,0.4327,0.207
40,FesBra,(b) High/Low,B,High,8,FesBra,1,0.4802,0.2315
2,FesBra,(b) High/Low,B,High,8,FesBra,2,0.229,0.0661
76,FesBra,(b) High/Low,B,High,8,FesBra,3,0.6014,0.167
4,FesBra,(b) High/Low,B,High,8,FesBra,4,0.3569,0.0938
6,FesBra,(b) High/Low,B,High,8,FesBra,5,0.298,0.1471
75,FesBra,(b) High/Low,B,High,8,FesBra,6,0.1433,0.0577
105,FesBra,(b) High/Low,B,High,8,FesBra,7,0,0
77,FesBra,(b) High/Low,B,High,8,FesBra,8,0.62,0.2742
120,FesBra,(b) High/Low,B,High,8,TriSpi,1,0.042,0.021
119,FesBra,(b) High/Low,B,High,8,TriSpi,2,0.4133,0.1741
80,FesBra,(b) High/Low,B,High,8,TriSpi,3,0.259,0.1228
117,FesBra,(b) High/Low,B,High,8,TriSpi,4,0.0126,0.0096
115,FesBra,(b) High/Low,B,High,8,TriSpi,5,0,0
121,FesBra,(b) High/Low,B,High,8,TriSpi,6,0.1933,0.0958
79,FesBra,(b) High/Low,B,High,8,TriSpi,7,0.7991,0.2444
122,FesBra,(b) High/Low,B,High,8,TriSpi,8,0.4974,0.2088
16,TriSpi,(b) High/Low,B,High,8,FesBra,1,0.476,0.1416
100,TriSpi,(b) High/Low,B,High,8,FesBra,2,1.2411,0.423
93,TriSpi,(b) High/Low,B,High,8,FesBra,3,0.922,0.3405
91,TriSpi,(b) High/Low,B,High,8,FesBra,4,0.6658,0.3084
89,TriSpi,(b) High/Low,B,High,8,FesBra,5,1.4733,0.4814
96,TriSpi,(b) High/Low,B,High,8,FesBra,6,0.986,0.383
95,TriSpi,(b) High/Low,B,High,8,FesBra,7,0.9882,0.4964
94,TriSpi,(b) High/Low,B,High,8,FesBra,8,0.9963,0.6097
48,TriSpi,(b) High/Low,B,High,8,TriSpi,1,0.1252,0.0561
57,TriSpi,(b) High/Low,B,High,8,TriSpi,2,0.7445,0.2941
90,TriSpi,(b) High/Low,B,High,8,TriSpi,3,0,0
51,TriSpi,(b) High/Low,B,High,8,TriSpi,4,0.0405,0.0163
53,TriSpi,(b) High/Low,B,High,8,TriSpi,5,0.771,0.2702
55,TriSpi,(b) High/Low,B,High,8,TriSpi,6,0,0
106,TriSpi,(b) High/Low,B,High,8,TriSpi,7,0.6075,0.2298
64,TriSpi,(b) High/Low,B,High,8,TriSpi,8,0.3752,0.0978
38,FesBra,(c) Low/High,C,Low,15,FesBra,1,0,0
34,FesBra,(c) Low/High,C,Low,15,FesBra,2,0.401,0.1694
33,FesBra,(c) Low/High,C,Low,15,FesBra,3,0,0
36,FesBra,(c) Low/High,C,Low,15,FesBra,4,0.0656,0
35,FesBra,(c) Low/High,C,Low,15,FesBra,5,0.2416,0.1292
37,FesBra,(c) Low/High,C,Low,15,FesBra,6,0.3923,0.1979
