ALT,SOIL_H2O,MeanSnow,SAND,CLAY,SILT,PH,TDN,DOC,Dptotal,Dpinorg,cirsco,silaca,trillu,phlsib,anggra,senfre,hymgra,eriper,oxydig,bisbis,antalp,genalg,moss,geuros,elyscr,trispi,fesrub,descae,kobmyo,carnar,carper,carpha,carnig,poaalp,ligfil,richness,cirscoA,silacaA,trilluA,phlsibA,anggraA,senfreA,hymgraA,eriperA,oxydigA,bisbisA,antalpA,genalgA,mossA,geurosA,elyscrA,trispiA,fesrubA,descaeA,kobmyoA,carnarA,carperA,carphaA,carnigA,poaalpA,ligfilA,stems,burk,clost,acidGP1A,acidGP4A,rhodo,tm7,ktedo,acidim,acidGP3,desulf,acidGP7,pseudo,delta,rhizo,actinomyc,acidGP4,cyano,acidGP1,chitin,rubro,oxalo,sphingo
3660.553711,4.166667,152.511,71,15,14,4.52,8.114583333,49.00520833,5.18,5.45,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,8,3,40,38,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,16,0,0,0,0,21,0,128,0.01428571,0.05714285,0,0.01428571,0.01428571,0,0.05714285,0.02857142,0,0.01428571,0.02857142,0,0.01428571,0.01428571,0.04285714,0.02857142,0.05714285,0,0.11428571,0.01428571,0.04285714,0.01428571
3932.784912,6.382978723,95.5209,78,14,9,4.29,4.574468085,21.75,2.61,8.95,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,8,1,12,0,0,0,6,0,2,0,0,0,1,0,3,0,0,0,0,7,0,0,4,0,0,0,36,0,0.00943396,0.01886792,0.00943396,0.02830188,0.00943396,0.05660377,0.01886792,0.00943396,0,0,0,0.02830188,0.00943396,0.01886792,0.01886792,0,0.00943396,0.05660377,0.00943396,0.02830188,0.00943396
3927.80542,1.01010101,65,76,16,9,4.55,1.994949495,15.1969697,0.48,2.71,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,12,15,0,3,0,0,0,5,0,21,0,0,0,60,0.01550387,0.00775193,0.01550387,0.01550387,0.10077519,0.01550387,0.03875968,0.01550387,0.03100775,0,0,0.07751937,0.00775193,0.03100775,0.03875968,0,0,0,0.07751937,0.03100775,0.01550387,0.02325581
3900.930664,5.263157895,65,78,13,9,4.34,4.373684211,35.70526316,2.01,5.94,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,22,2,0,5,5,0,0,9,0,0,0,0,0,49,0,0.02222222,0.03333333,0.01111111,0.03333333,0,0.08888888,0.01111111,0,0,0,0.02222222,0.03333333,0.03333333,0.05555555,0.01111111,0,0,0.1,0.03333333,0.03333333,0.01111111
3893.772461,5.263157895,65,66,17,17,4.04,4.221052632,19.52631579,0.86,4.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,12,0,0.01315789,0.03947368,0,0.07894736,0,0.15789473,0.01315789,0,0.01315789,0,0.02631578,0.03947368,0.01315789,0.01315789,0,0,0,0.02631578,0,0,0.01315789
3886.41626,16.27906977,65,62,18,21,4.45,13.51787359,81.27185726,4.71,8.76,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5,10,27,0,0,0,0,0,0,0,0,0,0,8,0,0,1,8,0,0,0,0,0,0,0,0,54,0.02409638,0,0.01204819,0,0.01204819,0,0.02409638,0,0,0.02409638,0,0.01204819,0.08433734,0.06024096,0.03614457,0,0.02409638,0,0.14457831,0.02409638,0.01204819,0.02409638
3882.361572,8.695652174,132.896,64,18,18,4.49,9.874368435,48.34901439,9.17,14.39,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,10,0,0,0,0,0,0,0,0,5,2,7,0,0,0,0,0,0,0,0,29,0.04123711,0,0.03092783,0.01030927,0.01030927,0.01030927,0.02061855,0.01030927,0,0.04123711,0.05154639,0.02061855,0.04123711,0.02061855,0,0.01030927,0.02061855,0.04123711,0.06185567,0.02061855,0.06185567,0.02061855
3880.624023,6.382978723,295.947,74,14,12,4.01,4.483820979,37.6889815,7.45,9.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.01265822,0.01265822,0.05696202,0,0.04430379,0.00632911,0.06329113,0.00632911,0,0.01265822,0.03164556,0,0.04430379,0.02531645,0.02531645,0,0,0.03164556,0.01898734,0,0.02531645,0.01265822
3879.18042,11.11111111,287.729,76,14,10,4.07,5.499649803,49.52078926,6.93,7.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,0,1,0,0,0,0,0,25,0.01052631,0,0.03157894,0,0.01052631,0.01052631,0.08421052,0,0.03157894,0.01052631,0.03157894,0,0.01052631,0.04210526,0,0,0,0.01052631,0.06315789,0.01052631,0.02105263,0
3880.624023,9.89010989,281.133,74,14,12,4.4,4.626459317,38.19907103,4.04,5.45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,26,0,0,0,0,0,0,4,0,0,0,0,0,31,0.01970443,0,0.06896551,0.0049261,0.0049261,0.00985221,0.02463054,0,0.01477832,0.03448275,0.01970443,0,0.0591133,0.02463054,0.01970443,0,0.08374384,0.0049261,0.1182266,0.0049261,0.02463054,0.01970443
