Plot,Tag,Pot,Ind,Block,Snow,Inoculum,BactA1,BactA2,FungA1,FungA2,Treatment,Position,Year,Biomass,BiomassPerInd,BiomassPerIndDiff,BiomassPerIndRel,GSL,FlowerNum,FlowerPA
1S,200,Des TA1,5,1,Sand,TA,0.2898421,0.01655145,-0.3364525,-0.48128809,Tundra,23,2016,0.026,0.0052,0.0052,0.0052,NA,0,0
1S,201,Des TA2,5,1,Sand,TA,0.2898421,0.01655145,-0.3364525,-0.48128809,Tundra,28,2016,0.053,0.0106,0.0106,0.0106,NA,0,0
1S,202,Des TB1,2,1,Sand,TB,0.2722811,0.022198674,-0.3615067,0.2069594,Tundra,25,2016,0.011,0.0055,0.0055,0.0055,NA,0,0
1S,203,Des TC1,4,1,Sand,TC,0.2526291,-0.003913608,-0.3026844,0.34372876,Tundra,18,2016,0.044,0.011,0.011,0.011,NA,0,0
1S,204,Des TD1,5,1,Sand,TD,0.2819753,-0.022131675,-0.3382876,-0.04665741,Tundra,26,2016,0.023,0.0046,0.0046,0.0046,NA,0,0
1S,215,Des BA1,5,1,Sand,BA,-0.2423103,0.21165508,0.2772172,-0.16062075,Bare,7,2016,0.053,0.0106,0.0106,0.0106,NA,0,0
1S,217,Des BB1,4,1,Sand,BB,-0.2565643,-0.244189024,0.3243149,0.14700557,Bare,1,2016,0.012,0.003,0.003,0.003,NA,0,0
1S,218,Des BC1,2,1,Sand,BC,-0.2754648,-0.182928193,0.3855673,0.03576063,Bare,2,2016,0.007,0.0035,0.0035,0.0035,NA,0,0
1S,219,Des BD1,4,1,Sand,BD,-0.3223882,0.202757296,0.3518319,-0.0448881,Bare,12,2016,0.046,0.0115,0.0115,0.0115,NA,0,0
1C,230,Des TA3,4,1,Control,TA,0.2898421,0.01655145,-0.3364525,-0.48128809,Tundra,25,2016,0.072,0.018,0.018,0.018,NA,0,0
1C,231,Des TA4,5,1,Control,TA,0.2898421,0.01655145,-0.3364525,-0.48128809,Tundra,17,2016,0.024,0.0048,0.0048,0.0048,NA,0,0
1C,233,Des TC2,4,1,Control,TC,0.2526291,-0.003913608,-0.3026844,0.34372876,Tundra,27,2016,0.084,0.021,0.021,0.021,NA,0,0
1C,234,Des TD2,5,1,Control,TD,0.2819753,-0.022131675,-0.3382876,-0.04665741,Tundra,30,2016,0.027,0.0054,0.0054,0.0054,NA,0,0
1C,245,Des BA3,5,1,Control,BA,-0.2423103,0.21165508,0.2772172,-0.16062075,Bare,7,2016,0.056,0.0112,0.0112,0.0112,NA,0,0
1C,247,Des BB2,5,1,Control,BB,-0.2565643,-0.244189024,0.3243149,0.14700557,Bare,6,2016,0.074,0.0148,0.0148,0.0148,NA,0,0
1C,248,Des BC2,3,1,Control,BC,-0.2754648,-0.182928193,0.3855673,0.03576063,Bare,13,2016,0.006,0.002,0.002,0.002,NA,0,0
1C,249,Des BD2,5,1,Control,BD,-0.3223882,0.202757296,0.3518319,-0.0448881,Bare,12,2016,0.076,0.0152,0.0152,0.0152,NA,0,0
2S,288,Des TA7,1,2,Sand,TA,0.2898421,0.01655145,-0.3364525,-0.48128809,Tundra,19,2016,0.003,0.003,0.003,0.003,NA,0,0
2S,290,Des TB4,2,2,Sand,TB,0.2722811,0.022198674,-0.3615067,0.2069594,Tundra,20,2016,0.03,0.015,0.015,0.015,NA,0,0
2S,291,Des TC4,2,2,Sand,TC,0.2526291,-0.003913608,-0.3026844,0.34372876,Tundra,17,2016,0.043,0.0215,0.0215,0.0215,NA,0,0
2S,292,Des TD4,5,2,Sand,TD,0.2819753,-0.022131675,-0.3382876,-0.04665741,Tundra,23,2016,0.012,0.0024,0.0024,0.0024,NA,0,0
