Year,Inoculum,Treatment,Snow,Survival,Block,GSL,PP
2017,U1,Unvegetated,Sand,1,1,44,0.808831148
2017,U1,Unvegetated,Sand,1,1,44,0.808831148
2017,U1,Unvegetated,Sand,1,1,44,0.808831148
2017,U1,Unvegetated,Sand,1,1,44,0.808831148
2017,U1,Unvegetated,Sand,1,1,44,0.808831148
2017,U1,Unvegetated,Sand,1,1,44,0.808831148
2017,U1,Unvegetated,Control,1,1,42,0.776706014
2017,U1,Unvegetated,Control,1,1,42,0.776706014
2017,U1,Unvegetated,Control,1,1,42,0.776706014
2017,U1,Unvegetated,Control,1,1,42,0.776706014
2017,U1,Unvegetated,Control,1,1,42,0.776706014
2017,U1,Unvegetated,Control,0,1,42,0.776706014
2017,U1,Unvegetated,Control,0,1,42,0.776706014
2017,U1,Unvegetated,Control,0,1,42,0.776706014
2017,U1,Unvegetated,Sand,1,2,44,0.808831148
2017,U1,Unvegetated,Sand,1,2,44,0.808831148
2017,U1,Unvegetated,Sand,1,2,44,0.808831148
2017,U1,Unvegetated,Sand,1,2,44,0.808831148
2017,U1,Unvegetated,Control,1,2,42,0.776706014
2017,U1,Unvegetated,Control,1,2,42,0.776706014
2017,U1,Unvegetated,Control,1,2,42,0.776706014
2017,U1,Unvegetated,Control,1,2,42,0.776706014
2017,U1,Unvegetated,Control,0,2,42,0.776706014
2017,U1,Unvegetated,Control,0,2,42,0.776706014
2017,U1,Unvegetated,Control,0,2,42,0.776706014
2017,U1,Unvegetated,Control,0,2,42,0.776706014
2017,U1,Unvegetated,Control,0,2,42,0.776706014
2017,U1,Unvegetated,Control,0,2,42,0.776706014
2017,U1,Unvegetated,Sand,1,3,40,0.740911655
2017,U1,Unvegetated,Sand,1,3,40,0.740911655
2017,U1,Unvegetated,Sand,1,3,40,0.740911655
2017,U1,Unvegetated,Sand,1,3,40,0.740911655
2017,U1,Unvegetated,Sand,0,3,40,0.740911655
2017,U1,Unvegetated,Sand,0,3,40,0.740911655
2017,U1,Unvegetated,Sand,0,3,40,0.740911655
2017,U1,Unvegetated,Control,1,3,37,0.680685026
2017,U1,Unvegetated,Control,1,3,37,0.680685026
2017,U1,Unvegetated,Control,1,3,37,0.680685026
2017,U1,Unvegetated,Control,1,3,37,0.680685026
2017,U1,Unvegetated,Control,1,3,37,0.680685026
2017,U1,Unvegetated,Control,1,3,37,0.680685026
2017,U1,Unvegetated,Control,1,3,37,0.680685026
2017,U1,Unvegetated,Control,1,3,37,0.680685026
2017,U1,Unvegetated,Control,1,3,37,0.680685026
2017,U1,Unvegetated,Sand,1,4,49,0.873479919
2017,U1,Unvegetated,Sand,1,4,49,0.873479919
2017,U1,Unvegetated,Sand,1,4,49,0.873479919
2017,U1,Unvegetated,Sand,1,4,49,0.873479919
2017,U1,Unvegetated,Sand,1,4,49,0.873479919
2017,U1,Unvegetated,Control,1,4,47,0.85020677
2017,U1,Unvegetated,Control,1,4,47,0.85020677
2017,U1,Unvegetated,Control,1,4,47,0.85020677
2017,U1,Unvegetated,Control,1,4,47,0.85020677
2017,U1,Unvegetated,Control,1,4,47,0.85020677
2017,U2,Unvegetated,Sand,1,1,44,0.975392167
2017,U2,Unvegetated,Sand,1,1,44,0.975392167
2017,U2,Unvegetated,Sand,1,1,44,0.975392167
2017,U2,Unvegetated,Sand,1,1,44,0.975392167
2017,U2,Unvegetated,Control,1,1,42,0.91381056
2017,U2,Unvegetated,Control,1,1,42,0.91381056
2017,U2,Unvegetated,Control,1,1,42,0.91381056
2017,U2,Unvegetated,Control,1,1,42,0.91381056
2017,U2,Unvegetated,Control,1,1,42,0.91381056
2017,U2,Unvegetated,Sand,1,2,44,0.975392167
2017,U2,Unvegetated,Sand,1,2,44,0.975392167
2017,U2,Unvegetated,Sand,1,2,44,0.975392167
2017,U2,Unvegetated,Sand,1,2,44,0.975392167
2017,U2,Unvegetated,Sand,1,2,44,0.975392167
2017,U2,Unvegetated,Control,1,2,42,0.91381056
2017,U2,Unvegetated,Control,1,2,42,0.91381056
2017,U2,Unvegetated,Control,1,2,42,0.91381056
2017,U2,Unvegetated,Control,0,2,42,0.91381056
2017,U2,Unvegetated,Control,0,2,42,0.91381056
2017,U2,Unvegetated,Sand,1,3,40,0.739308281
2017,U2,Unvegetated,Sand,1,3,40,0.739308281
2017,U2,Unvegetated,Sand,1,3,40,0.739308281
2017,U2,Unvegetated,Sand,1,3,40,0.739308281
2017,U2,Unvegetated,Sand,1,3,40,0.739308281
2017,U2,Unvegetated,Control,1,3,37,0.281775339
2017,U2,Unvegetated,Control,0,3,37,0.281775339
2017,U2,Unvegetated,Control,0,3,37,0.281775339
2017,U2,Unvegetated,Control,0,3,37,0.281775339
2017,U2,Unvegetated,Control,0,3,37,0.281775339
2017,U2,Unvegetated,Sand,1,4,49,0.999067327
2017,U2,Unvegetated,Sand,1,4,49,0.999067327
2017,U2,Unvegetated,Sand,1,4,49,0.999067327
2017,U2,Unvegetated,Sand,1,4,49,0.999067327
2017,U2,Unvegetated,Sand,1,4,49,0.999067327
2017,U2,Unvegetated,Control,1,4,47,0.996522034
2017,U2,Unvegetated,Control,1,4,47,0.996522034
2017,U2,Unvegetated,Control,1,4,47,0.996522034
2017,U2,Unvegetated,Control,1,4,47,0.996522034
2017,U2,Unvegetated,Control,1,4,47,0.996522034
2017,U3,Unvegetated,Sand,1,1,44,0.818079637
2017,U3,Unvegetated,Sand,0,1,44,0.818079637
2017,U3,Unvegetated,Control,1,1,42,0.755146526
2017,U3,Unvegetated,Control,1,1,42,0.755146526
2017,U3,Unvegetated,Control,0,1,42,0.755146526
2017,U3,Unvegetated,Sand,1,2,44,0.818079637
2017,U3,Unvegetated,Sand,1,2,44,0.818079637
2017,U3,Unvegetated,Sand,1,2,44,0.818079637
2017,U3,Unvegetated,Sand,1,2,44,0.818079637
2017,U3,Unvegetated,Sand,1,2,44,0.818079637
2017,U3,Unvegetated,Control,1,2,42,0.755146526
2017,U3,Unvegetated,Control,0,2,42,0.755146526
2017,U3,Unvegetated,Control,0,2,42,0.755146526
2017,U3,Unvegetated,Control,0,2,42,0.755146526
2017,U3,Unvegetated,Control,0,2,42,0.755146526
2017,U3,Unvegetated,Sand,1,3,40,0.678985398
2017,U3,Unvegetated,Sand,1,3,40,0.678985398
2017,U3,Unvegetated,Sand,1,3,40,0.678985398
2017,U3,Unvegetated,Sand,1,3,40,0.678985398
2017,U3,Unvegetated,Sand,1,3,40,0.678985398
2017,U3,Unvegetated,Control,1,3,37,0.545723099
2017,U3,Unvegetated,Control,1,3,37,0.545723099
