Site ID,Type,Community,Cover,Depth,pH,Moisture,Bulk,Aspect,Slope,Elevation,June1Avg,June1Trend,June1CV,June1Solar,Slope_cat,Aspect_cat,Elev_cat
BT 0,Bare to Tundra,Fellfield,50,69,5.21,18.99,0.818598307,132.419,13.2155,3515.65,0.003929167,-0.001003951,2.82417093,26.60789,20-Oct,SE,3500 - 3600
BT 13,Bare to Tundra,Talus,60,9,5.47,31.74,0.393215946,79.6697,52.9444,3811.71,0.021409167,-0.003562902,1.74755763,13.52036,50 - 60,E,3800 - 3900
BT 18,Bare to Tundra,Dry Meadow,30,33,4.57,33.78,0.541197187,102.357,47.7321,3624.74,0.123840833,-0.001582483,0.76695019,15.76226,40 - 50,E,3600 - 3700
BT 19,Bare to Tundra,Dry Meadow,75,34,5.75,20.75,0.594695148,32.6415,6.71865,3441.66,0.0301275,0.000439615,1.58358876,25.31831,0 - 10,NE,3400 - 3500
BT 2,Bare to Tundra,Talus,50,16,5.19,20.04,0.461989347,117.749,59.2721,3750.06,0.147998333,-0.010586783,0.86005627,10.46459,50 - 60,SE,3700 - 3800
BT 28,Bare to Tundra,Talus,20,15,6.24,12.07,0.691059454,176.303,27.0334,3616.03,0.002235833,-0.000571084,2.58542749,25.95187,20 - 30,S,3600 - 3700
BT 29,Bare to Tundra,Talus,30,10,6.19,16.13,0.50742718,28.5241,40.366,3473.23,0.2127575,-0.02639528,0.60543014,17.88084,40 - 50,NE,3400 - 3500
BT 32,Bare to Tundra,Wet Meadow,95,100,5.03,29.06,0.689425222,157.558,8.45278,3476.03,0.282278333,-0.010546993,0.81925849,26.98488,0 - 10,S,3400 - 3500
BT 34,Bare to Tundra,Snowbed,75,15,4.58,42.78,0.439163076,125.203,12.2945,3566.49,0.6524525,-0.108093042,0.7647349,26.22343,20-Oct,SE,3500 - 3600
BT 37,Bare to Tundra,Fellfield,55,51,4.51,10.66,0.721462237,50.7898,10.1604,3487.83,0.113774167,-0.00521465,1.4308451,24.75849,20-Oct,NE,3400 - 3500
BT 39,Bare to Tundra,Moist Meadow,80,20,4.41,35.98,0.596395387,48.3977,15.5105,3447.54,0.452895833,-0.059947308,0.76882533,23.10416,20-Oct,NE,3400 - 3500
BT 8,Bare to Tundra,Talus,50,25,5.3,8.12,0.827578388,355.565,33.6671,3719.03,0.279541667,-0.029792657,0.85157065,16.75012,30 - 40,N,3700 - 3800
