Year,Summer_mean
1953,7.4
1954,7.566666667
1955,6.833333333
1956,8.066666667
1957,6.366666667
1958,7.333333333
1959,6.8
1960,7.166666667
1961,6.7
1962,6.6
1963,7.866666667
1964,5.7
1965,5.7
1966,7.733333333
1967,6.266666667
1968,6.6
1969,6.8
1970,7.966666667
1971,7.266666667
1972,6.333333333
1973,6.7
1974,7.133333333
1975,5.9
1976,4.733333333
1977,7.833333333
1978,5.5
1979,7.133333333
1980,6.166666667
1981,4.933333333
1982,3.633333333
1983,4.833333333
1984,4.2
1985,6.733333333
1986,6.866666667
1987,7.866666667
1988,9.9
1989,6.5
1990,7.933333333
1991,7.833333333
1992,5.566666667
1993,6.633333333
1994,10
1995,6.4
1996,8.633333333
1997,7.9
1998,7.3
1999,7.5
2000,8.533333333
2001,8.133333333
2002,9.366666667
2003,7.6
2004,5.866666667
2005,7.5
2006,7.866666667
2007,10.56666667
2008,9.466666667
2009,8.9
2010,9
2011,8.666666667
2012,5.7
