ID,Type,Change,Pine,Spruce,Fir,Depth,pH,Aspect,Slope,Elevation,Slope_Cat,Aspect_Cat,Elevat_Cat,Avg,Trend,CV,Solar,Moisture,Bulk ,Dist_nearshrub
2,Tundra-OF,1,0,1,0,3.74,5.67,342.551,17.3402,3429.78,40835,N,3400 - 3500,0.000875,-0.000218112,2.69374428,24.32556,14.92860085,0.501692015,0
4,Tundra-OF,1,0,1,0,32,5.9,327.638,22.0573,3383.18,20 - 30,NW,3300 - 3400,0.0009475,-0.000242762,2.95677961,23.38544,31.62372637,0.438816669,82
5,Tundra-OF,1,0,0,1,100,4.8,210.947,7.14351,3434.9,0 - 10,SW,3400 - 3500,0.111966667,0.005186573,0.78139886,27.7938,75.9375,0.107916203,0
6,Tundra-OF,1,0,1,1,32,4.33,15.8525,8.55802,3294.23,0 - 10,N,3200 - 3300,0.198389167,-0.007958007,0.51280813,24.35558,50.35477438,0.532498503,40000
8,Tundra-OF,1,0,0,1,100,4.59,167.361,15.1649,3271.64,40835,S,3200 - 3300,0.301776667,-0.048071119,0.89978542,26.87645,31.88750885,0.397322865,40000
10,Tundra-OF,1,0,1,1,61,4.85,159.069,6.92308,3232.65,0 - 10,S,3200 - 3300,0.176595833,0.009403112,0.57346327,27.25276,71.6741492,0.23401432,199
11,Tundra-OF,1,0,1,0,67,4.54,174.631,7.81333,3326.88,0 - 10,S,3300 - 3400,0.051965833,-0.002215909,1.81102629,26.16432,34.10086739,0.350161676,268
15,Tundra-OF,1,0,1,0,27.5,4.1,25.9763,14.3132,3376.52,40835,NE,3300 - 3400,0.2562775,0.000601783,0.74956816,22.77227,34.35625723,0.548305623,120.5
16,Tundra-OF,1,0,1,1,33,4.46,249.445,7.79084,3359.7,0 - 10,W,3300 - 3400,0.010139167,0.002351084,3.05983797,26.9403,19.91162512,0.598462208,138
18,Tundra-OF,1,0,1,1,21,4.28,201.868,9.63812,3365.83,0 - 10,S,3300 - 3400,0.177340833,0.000727657,0.70645482,27.59983,48.20405924,0.425555361,109
20,Tundra-OF,1,0,1,1,18.2,5.08,218.277,19.6932,3412.13,40835,SW,3400 - 3500,0.165244167,-0.00765479,0.67386647,27.9244,31.54216812,0.519912032,65
21,Tundra-OF,1,1,0,1,51.5,4.58,187.936,19.4993,3307.4,40835,S,3300 - 3400,0.0549875,-0.001656119,1.27665047,27.62892,30.79070948,0.453803247,40000
22,Tundra-OF,1,0,1,0,100,4.95,66.9562,14.1399,3340.47,40835,NE,3300 - 3400,0.528046667,-0.083011329,0.73956232,22.42166,42.58589087,0.60016809,76
23,Tundra-OF,1,0,1,1,49,4.43,150.038,5.72605,3274.18,0 - 10,SE,3200 - 3300,0.098005833,0.014309685,0.8108741,26.15888,62.92309161,0.293319017,40000
24,Tundra-OF,1,0,1,1,41,5.08,150.6,14.9142,3323.5,40835,SE,3300 - 3400,0.447786667,-0.065798531,0.71836369,23.20916,27.93254605,0.445287565,83
26,Tundra-OF,1,0,0,0,28,4.94,195.195,3.90721,3319.45,0 - 10,S,3300 - 3400,0.0512075,0.004353671,1.50585498,27.38396,17.55665906,0.781908529,114
31,Tundra-OF,1,0,1,1,100,5.01,334.054,7.26657,3414.15,0 - 10,NW,3400 - 3500,0.0153025,-0.000337238,1.81495975,25.52467,24.44572048,0.498853823,80
32,Tundra-OF,1,0,0,1,50,4.64,209.763,17.4083,3395.8,40835,SW,3300 - 3400,0.148825833,0.011647657,0.81945316,27.72721,36.75825575,0.34211328,387
33,Tundra-OF,1,0,1,0,33,4.59,191.695,7.14794,3317.73,0 - 10,S,3300 - 3400,0.1330575,0.010625699,0.85217966,27.19809,51.17795472,0.492928626,83
