OID_,Aspect,Slope,Elevation,Mean,CV,Trend,Solar,Cover_1972,Cover_2008,1972B,1972T,1972S,1972O,1972C,2008T,2008S,2008B,2008O,2008C,Texpand,Sexpand,Bexpand,Oexpand,X,Y
614,58.97031,15.26333,3121.29639,0.05549333,1.704512658,-0.006605105,23.05791,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452625,4431782
1054,164.46426,7.72447,3124.18652,0.0330575,1.786071937,-0.007721853,26.45095,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,451229,4431499
279,187.99004,18.39171,3126.60352,0.0780125,1.245798094,-0.001031783,26.91236,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451481,4431473
392,229.55075,8.725,3127.71143,0.06945917,1.285573211,-0.001748077,26.94159,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451445,4431500
267,112.42328,17.18132,3130.86475,0.06489083,1.463160044,-0.008780105,24.19,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452591,4431708
1309,242.25438,15.02683,3131.28149,0.0507125,1.721148339,-0.005806259,27.16645,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452466,4431995
1620,170.10321,9.38613,3131.61621,0.03804667,2.17018363,-0.00031028,26.60724,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452534,4432172
1709,194.63788,19.21987,3132.01147,0.08133083,1.246556851,-0.001467797,27.2578,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451399,4431562
975,69.00195,10.91298,3137.06201,0.05431167,1.711141459,-0.006445524,24.2086,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452479,4431810
430,135.72276,2.27288,3141.06348,0.04935333,1.358931665,-0.00159021,25.80685,T,T,0,1,0,0,0,1,0,0,0,0,0,0,0,0,451575,4431639
1695,148.82094,5.58513,3141.6228,0.09024083,0.944811254,0.001088986,26.17884,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451112,4431603
338,150.88432,4.24502,3142.65698,0.04777,1.224032063,-0.003208182,26.13328,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,451527,4431656
1232,177.14305,14.66755,3142.87866,0.0894525,1.231704808,-0.001938706,25.81719,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451652,4431680
1323,189.6573,5.95588,3143.30298,0.04962833,1.689020653,-0.009384336,26.68272,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451326,4431753
1733,335.95255,3.57173,3143.80054,0.11584667,0.659531376,0.002348601,25.72146,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,451103,4431617
538,136.76604,9.25969,3144.30615,0.044815,1.708119252,-0.006380839,25.91672,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452387,4431822
1724,178.95303,13.79372,3145.59766,0.0663375,1.283070727,-0.00458535,26.94757,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450744,4431473
1178,24.43455,18.64631,3145.6521,0.08500583,1.214049379,-0.000327587,21.73444,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452256,4432063
1769,183.73192,2.45646,3146.29932,0.09773167,0.916119343,0.005546084,26.28409,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,450978,4431599
764,353.05551,0.6941,3146.35278,0.03193,2.206483717,-0.012585245,25.97069,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451493,4431575
