taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	GTDB-tk Lineage	High Quality	Cultured	Genome Size   * assembled	Gene Count   * assembled	
2636415612	Archaea	Finished	Methanogenic archaea and the global carbon cycle UIUC	Methanosarcina thermophila TM-1	University of Illinois, Urbana-Champaign	2636415612	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina thermophila	Yes	Yes	3127379	2773	
2795385341	Archaea	Permanent Draft	Longitudinal study of halite endolithic microbial communities	Uncultured Halobacteriaceae archaeon SG1_66_5	Johns Hopkins University	2795385341	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloarculaceae;g__;s__	No	No	2097631	2510	
2773857696	Archaea	Permanent Draft	Cubitermes and Nasutitermes termite gut microbial communities from Max Planck Institute for Terrestrial Microbiology, Germany	Unclassified Methanomassiliicoccaceae Th196P4bin4	DOE Joint Genome Institute (JGI)	2773857696	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoplasma;s__Methanoplasma sp009776625	No	No	1561430	1714	
2681813400	Archaea	Permanent Draft	Single cell genomes from Mediterranean Sea Brine Lakes 1 (MSBL1)	candidate divison MSBL1 archaeon SCGC-AAA259I09	King Abdulaziz City for Science and Technology (KACST)	2681813400	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__;f__;g__;s__	No	No	1344261	1713	
2756170388	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification	Methanimicrococcus blatticola DSM 13328	DOE Joint Genome Institute (JGI)	2756170388	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__Methanimicrococcus blatticola	Yes	Yes	1783317	1615	
638154508	Archaea	Finished	Methanosarcina acetivorans C2A	Methanosarcina acetivorans C2A	Broad Institute	638154508	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina acetivorans	Yes	Yes	5751492	4807	
2883920249	Archaea	Finished	Complete genome of Methanolobus zinderi DSM 21339	Methanolobus zinderi DSM 21339	National Chung Hsing University	2883920249	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus zinderi	Yes	Yes	2704953	2765	
2636415905	Archaea	Finished	Methanogenic archaea and the global carbon cycle UIUC	Methanosarcina mazei C16	University of Illinois, Urbana-Champaign	2636415905	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	Yes	Yes	4166241	3633	
2642422606	Archaea	Permanent Draft	Deep subsurface shale carbon reservoir microbial communities from Ohio and West Virginia, USA	Methanohalophilus halophilus Z-7982	DOE Joint Genome Institute (JGI)	2642422606	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus halophilus	Yes	Yes	2026562	2126	
2754412526	Archaea	Permanent Draft	Subsurface microbial communities from deep shales in Ohio and West Virginia, USA	Methanohalophilus euhalobius WG1_MB	DOE Joint Genome Institute (JGI)	2754412526	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus euhalobius	Yes	Yes	1978025	2157	
