taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	GTDB-tk Lineage	High Quality	Cultured	Genome Size   * assembled	Gene Count   * assembled	
2634166439	Archaea	Finished	Methanosarcina barkeri CM1	Methanosarcina barkeri CM1	Pastoral Greenhouse Gas Research Consortium (PGgRc)	2634166439	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina barkeri	Yes	Yes	4501171	3878	
2515075008	Archaea	Permanent Draft	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	Methanolobus tindarius DSM 2278	DOE Joint Genome Institute (JGI)	2515075008	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus tindarius	Yes	Yes	3151883	3022	
2667527399	Archaea	Permanent Draft	Genome sequencing of Candidatus Methanomethylophilus sp. 1R26	Candidatus Methanomethylophilus sp. 1R26	Aarhus University	2667527399	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp001481295	Yes	Yes	1723106	1525	
2811994978	Archaea	Permanent Draft	Metagenomes from anaerobic digester of solid waste	unclassified Euryarchaeota BinDmb13	University of Toronto	2811994978	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__	No	No	1891365	2110	
2627853858	Archaea	Finished	Methanogenic archaea and the global carbon cycle UIUC	Methanosarcina sp. WWM596	University of Illinois, Urbana-Champaign	2627853858	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp000969965	Yes	Yes	4137337	3732	
2681813121	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA	Methanosarcina mazei 1.H.M.2.3	University of Illinois, Urbana-Champaign	2681813121	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	Yes	Yes	3975805	3488	
637000161	Archaea	Finished	Methanococcoides burtonii DSM 6242	Methanococcoides burtonii DSM 6242	DOE Joint Genome Institute (JGI)	637000161	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides burtonii	Yes	Yes	2575032	2506	
2914862632	Archaea	Permanent Draft	Methanohalophilus Genome sequencing and assembly	Methanohalophilus halophilus DSM 3094	University of Poitiers	2914862632	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus halophilus	Yes	Yes	2021537	2137	
2565956561	Archaea	Finished	Methanogenic Thermoplasmatales-affiliated Archaea	Thermoplasmatales archaeon BRNA1	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	2565956561	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp000350305	Yes	Yes	1461105	1577	
2639762927	Archaea	Finished	Thermofilum uzonense 1807-2	Thermofilum uzonense 1807-2	Baltic Federal University	2639762927	d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_A;s__Thermofilum_A uzonense	Yes	Yes	1611988	1739	
