taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	GTDB-tk Lineage	High Quality	Cultured	Genome Size   * assembled	Gene Count   * assembled	
2791355116	Archaea	Permanent Draft	Methanosarcina spelaei MC-15 genome sequencing	Methanosarcina spelaei MC-15	University of California, Santa Barbara	2791355116	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina spelaei	Yes	Yes	5005272	4353	
2642422561	Archaea	Permanent Draft	Deep subsurface shale carbon reservoir microbial communities from Ohio and West Virginia, USA	Methanolobus vulcani PL 12/M	DOE Joint Genome Institute (JGI)	2642422561	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus vulcani	Yes	Yes	2947907	2902	
2811994978	Archaea	Permanent Draft	Metagenomes from anaerobic digester of solid waste	unclassified Euryarchaeota BinDmb13	University of Toronto	2811994978	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__	No	No	1891365	2110	
2634166439	Archaea	Finished	Methanosarcina barkeri CM1	Methanosarcina barkeri CM1	Pastoral Greenhouse Gas Research Consortium (PGgRc)	2634166439	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina barkeri	Yes	Yes	4501171	3878	
2728369320	Archaea	Permanent Draft	Deep subsurface and oceanic microbial communities from Witwatersrand Basin, South Africa, and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field	Candidatus Hydrothermarchaeota archaeon JdFR-18	DOE Joint Genome Institute (JGI)	2728369320	d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia;o__Hydrothermarchaeales;f__Hydrothermarchaeaceae;g__Hydrothermarchaeum;s__Hydrothermarchaeum profundi	No	No	2062134	2320	
2627853629	Archaea	Finished	Methanogenic archaea and the global carbon cycle UIUC	Methanosarcina sp. Kolksee	University of Illinois, Urbana-Champaign	2627853629	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina vacuolata	Yes	Yes	4553495	3809	
2773857688	Archaea	Permanent Draft	Cubitermes and Nasutitermes termite gut microbial communities from Max Planck Institute for Terrestrial Microbiology, Germany	Unclassified Methanomassiliicoccaceae Nt197P3bin45	DOE Joint Genome Institute (JGI)	2773857688	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__WRKA01;s__	No	No	769373	926	
2681813131	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA	Methanosarcina mazei 3.H.T.1A.1	University of Illinois, Urbana-Champaign	2681813131	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	Yes	Yes	4072284	3571	
2516653088	Archaea	Permanent Draft	Genome of strain AmaM	Euryarchaeota sp. AmaM	Hokkaido System Science Co.,Ltd.	2516653088	d__Archaea;p__Halobacteriota;c__Methanosarcinia_A;o__Methanosarcinales_A;f__Methermicoccaceae;g__Methermicoccus;s__Methermicoccus shengliensis	Yes	Yes	1523554	1680	
2681813113	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA	Methanosarcina mazei 1.F.A.2.8	University of Illinois, Urbana-Champaign	2681813113	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	Yes	Yes	3958841	3469	
2681813116	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA	Methanosarcina mazei 1.H.A.1A.4	University of Illinois, Urbana-Champaign	2681813116	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	Yes	Yes	3982935	3502	
