taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	GTDB-tk Lineage	High Quality	Cultured	Genome Size   * assembled	Gene Count   * assembled	
2698536741	Archaea	Permanent Draft	Soil microbial community of the Robinson Ridge, Antarctica	unclassified Thaumarchaeota archaeon bin19	University of Queensland	2698536741	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__UBA10452;s__UBA10452 sp003176995	No	No	3969448	5430	
2775506851	Archaea	Finished	Comparative genomics of Nitrosotalea	Nitrosotalea okcheonensis CS NCS1	University of Vienna	2775506851	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea;s__Nitrosotalea okcheonensis	Yes	Yes	1972585	2348	
2799112921	Archaea	Permanent Draft	Rumen microbial communities from cattle in Beef and Sheep Research Centre of Scotland?s Rural College (SRUC), Edinburgh, United Kingdom	Methanobrevibacter sp. RUG338	The Roslin Institute	2799112921	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp900317865	No	No	2281773	2175	
2718217702	Archaea	Finished	Candidatus Nitrosocosmicus exaquare G61 genome	Candidatus Nitrosocosmicus exaquare G61	University of Waterloo	2718217702	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrosocosmicus;s__Nitrosocosmicus exaquare	Yes	Yes	2989777	3237	
2681813114	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA	Methanosarcina mazei 1.F.M.0.5	University of Illinois, Urbana-Champaign	2681813114	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	Yes	Yes	4066836	3564	
2728369318	Archaea	Permanent Draft	Deep subsurface and oceanic microbial communities from Witwatersrand Basin, South Africa, and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field	Methanomicrobia archaeon JdFR-19	DOE Joint Genome Institute (JGI)	2728369318	d__Archaea;p__Halobacteriota;c__Methanosarcinia_A;o__Methanosarcinales_A;f__Methermicoccaceae;g__JdFR-19;s__JdFR-19 sp002010075	No	No	1288683	1595	
2799112919	Archaea	Permanent Draft	Rumen microbial communities from cattle in Beef and Sheep Research Centre of Scotland?s Rural College (SRUC), Edinburgh, United Kingdom	Methanobrevibacter sp. RUG076	The Roslin Institute	2799112919	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_B;s__Methanobrevibacter_B boviskoreani	No	No	1863219	1669	
2627853524	Archaea	Permanent Draft	Methanobrevibacter arboriphilus DH1	Methanobrevibacter arboriphilicus DH1	Goettingen Genomics Laboratory	2627853524	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_C;s__Methanobrevibacter_C arboriphilus	Yes	Yes	2445031	2007	
2667527400	Archaea	Permanent Draft	Methanobrevibacter sp. YE315 Genome Sequence	Methanobrevibacter sp. YE315	Queensland Government	2667527400	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A sp001548675	Yes	Yes	2273296	1982	
2511231109	Archaea	Permanent Draft	Methanococcus maripaludis X1	Methanococcus maripaludis X1	U.S. Department of Energy (DOE)	2511231109	d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis	Yes	No	1746697	1890	
2811994913	Archaea	Permanent Draft	Metagenomes from anaerobic digester of solid waste	Methanosarcina sp. BinDmb10	University of Toronto	2811994913	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__	No	No	2958666	2812	
2914860506	Archaea	Permanent Draft	Methanohalophilus portucalensis FDF-1 genome sequencing	Methanohalophilus portucalensis FDF-1	National Chung Hsing University	2914860506	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus portucalensis	Yes	Yes	1990446	2125	
2728369540	Archaea	Finished	Complete genome sequence of Methanothermobacter wolfeii SIV6	Methanothermobacter wolfeii SIV6	Center for Biotechnology (CeBiTec), Bielefeld Univeristy	2728369540	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter;s__Methanothermobacter wolfei	Yes	Yes	1686891	1839	
2684622741	Archaea	Permanent Draft	Sequencing of Methanobrevibacter genomes	Methanobrevibacter oralis DSM7256	Goettingen Genomics Laboratory	2684622741	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A oralis	Yes	Yes	2110861	2080	
2551306657	Archaea	Permanent Draft	Methanobrevibacter sp. JH1	Methanobrevibacter boviskoreani JH1	Korea Research Institute of Bioscience and Biotechnology	2551306657	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_B;s__Methanobrevibacter_B boviskoreani	Yes	Yes	2045801	1799	
2811994951	Archaea	Permanent Draft	Metagenomes from anaerobic digester of solid waste	unclassified Methanomicrobiaceae BinDmb76	University of Toronto	2811994951	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sp002499455	No	No	2535562	2722	
