taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	GTDB-tk Lineage	High Quality	Cultured	Genome Size   * assembled	Gene Count   * assembled	
646564550	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Methanohalophilus mahii SLP, DSM 5219	DOE Joint Genome Institute (JGI)	646564550	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus mahii	Yes	Yes	2012424	2095	
2667527222	Archaea	Draft	Cow rumen enrichment culture microbial communities from Austria	Methanomassiliicoccales archaeon RumEn M2	University of Vienna	2667527222	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__RumEn-M2;s__RumEn-M2 sp001421175	No	No	1280797	1225	
2773857642	Archaea	Permanent Draft	Metagenomics study of hot springs in Tengchong, Yunnan	Unclassified Hadesarchaeota JZ-1 bin_103	Beijing Novogene Bioinformatics Technology Co., Ltd	2773857642	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__WYZ-LMO6;g__WYZ-LMO6;s__WYZ-LMO6 sp011367165	No	No	948043	1097	
2808606443	Archaea	Permanent Draft	Metagenomes from anaerobic digester of solid waste	Methanosaeta sp. BinDG74m8	University of Toronto	2808606443	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix sp002067755	No	No	1975353	2243	
2875770995	Archaea	Permanent Draft	Lost Hammer	ANME-1 cluster archaeon LHE1	McGill University	2875770995	d__Archaea;p__Halobacteriota;c__Syntropharchaeia;o__ANME-1;f__ANME-1;g__;s__	No	No	1019504	1336	
2627853951	Archaea	Permanent Draft	Methanobrevibacter smithii	Methanobrevibacter smithii	Aix-Marseille University	2627853951	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	Yes	Yes	1718384	1734	
2811994892	Archaea	Permanent Draft	Metagenomes from anaerobic digester of solid waste	unclassified Methanomicrobiales BinDmb69	University of Toronto	2811994892	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__	No	No	2845929	2785	
2506783068	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Methanofollis liminatans GKZPZ, DSM 4140	DOE Joint Genome Institute (JGI)	2506783068	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanofollaceae;g__Methanofollis;s__Methanofollis liminatans	Yes	Yes	2475100	2522	
643886215	Archaea	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Methanobrevibacter smithii F1, DSM 2374	Washington University in St. Louis	643886215	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	Yes	Yes	1707624	1749	
2547132053	Archaea	Permanent Draft	Pan-genome of Methanobrevibacter smithii, in twins	Methanobrevibacter smithii TS145B	Washington University in St. Louis	2547132053	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	Yes	Yes	1797373	1931	
2660238475	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA	Methanosarcina mazei 3.F.A.2.5	University of Illinois, Urbana-Champaign	2660238475	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	Yes	Yes	4063523	3552	
2681813117	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA	Methanosarcina mazei 1.H.A.2.1	University of Illinois, Urbana-Champaign	2681813117	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	Yes	Yes	3979315	3517	
2657245605	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA	Methanosarcina mazei YBB.H.M.1A.1	University of Illinois, Urbana-Champaign	2657245605	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	Yes	Yes	4116536	3608	
2654588138	Archaea	Permanent Draft	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	Methanobrevibacter gottschalkii DSM 11978	DOE Joint Genome Institute (JGI)	2654588138	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A gottschalkii	Yes	Yes	1864477	1942	
2770939657	Archaea	Permanent Draft	Metagenomes from anaerobic digester of solid waste	Methanobacterium sp. BinDmb120	University of Toronto	2770939657	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium formicicum	No	No	1905810	2093	
643886144	Archaea	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Methanobrevibacter smithii DSM 2375	Washington University in St. Louis	643886144	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	Yes	Yes	1704865	1748	
2593339150	Archaea	Permanent Draft	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	Methanobrevibacter olleyae DSM 16632	DOE Joint Genome Institute (JGI)	2593339150	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter olleyae	Yes	Yes	2122444	1854	
2773857641	Archaea	Permanent Draft	Metagenomics study of hot springs in Tengchong, Yunnan	Unclassified Crenarchaeota JZ-1 bin_66	Beijing Novogene Bioinformatics Technology Co., Ltd	2773857641	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__WYZ-LMO8 sp004347965	No	No	1522085	1621	
2860327289	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase V (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes	Methanococcus maripaludis C9	DOE Joint Genome Institute (JGI)	2860327289	d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis	Yes	Yes	1820669	1981	
2926682867	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains	Methanocalculus alkaliphilus AMF2	DOE Joint Genome Institute (JGI)	2926682867	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocalculus;s__Methanocalculus sp007130455	Yes	Yes	2087147	2272	
2913520121	Archaea	Permanent Draft	Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification	Methanobacterium aggregans DSM 29428	DOE Joint Genome Institute (JGI)	2913520121	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_C;s__	Yes	Yes	2347771	2344	
2657245481	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA	Methanosarcina mazei 3.H.M.1B.2	University of Illinois, Urbana-Champaign	2657245481	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	Yes	Yes	4122681	3586	
2547132070	Archaea	Permanent Draft	Pan-genome of Methanobrevibacter smithii, in twins	Methanobrevibacter smithii TS96B	Washington University in St. Louis	2547132070	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii_A	Yes	Yes	1869210	1800	
2547132058	Archaea	Permanent Draft	Pan-genome of Methanobrevibacter smithii, in twins	Methanobrevibacter smithii TS146E	Washington University in St. Louis	2547132058	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii_A	Yes	Yes	1952070	1965	
2799112904	Archaea	Permanent Draft	Rumen microbial communities from cattle in Beef and Sheep Research Centre of Scotland?s Rural College (SRUC), Edinburgh, United Kingdom	Methanobrevibacter sp. RUG121	The Roslin Institute	2799112904	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_B;s__Methanobrevibacter_B sp900314605	No	No	2386750	2220	
2724679722	Archaea	Permanent Draft	Stable isotope and metagenomic profiling of a methanogenic naphthalene-degrading enrichment culture	Methanosaeta sp. Bin 1	University of Calgary	2724679722	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix soehngenii	No	No	2683322	2798	
2554235511	Archaea	Permanent Draft	Methanocaldococcus villosus KIN24-T80 Genome sequencing	Methanocaldococcus villosus KIN24-T80	King Abdullah University of Science and Technology	2554235511	d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus_A;s__Methanocaldococcus_A villosus	Yes	Yes	1207361	1326	
2728369543	Archaea	Permanent Draft	Anaerobic digester sludge microbial communities from Brisbane, Australia	Methanomicrobiales archaeon Methan_07	University of Queensland,  The University of Queensland	2728369543	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sp001896715	No	No	1900884	2179	
2681813082	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA	Methanosarcina mazei YBM.H.M.1A.2	University of Illinois, Urbana-Champaign	2681813082	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	Yes	Yes	4074261	3569	
2627853658	Archaea	Finished	Methanogenic archaea and the global carbon cycle UIUC	Methanosarcina sp. WH1	University of Illinois, Urbana-Champaign	2627853658	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp000969965	Yes	Yes	3914091	3520	
2681813119	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA	Methanosarcina mazei 1.H.A.2.7	University of Illinois, Urbana-Champaign	2681813119	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei	Yes	Yes	4116665	3641	
637000164	Archaea	Finished	Methanogenic Syntropic Consortium	Methanospirillum hungatei JF-1	DOE Joint Genome Institute (JGI)	637000164	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum hungatei	Yes	Yes	3544738	3307	
2571042922	Archaea	Permanent Draft	The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.	Methanomicrobium mobile DSM 1539	DOE Joint Genome Institute (JGI)	2571042922	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanomicrobium;s__Methanomicrobium mobile	Yes	Yes	1711791	1686	
